,,สภาวะราคาของชิ้นส่วนหลัก Wk23 (9 - 15.6.65),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,รายการ,BKK (เขตบางกะปิ),,,,,,,,รายการ,EST (ชลบุรี),,,,,,
,,สินค้า,ค้าส่ง,,,ค้าปลีก,,,,,สินค้า,ค้าส่ง,,,ค้าปลีก,,,
,,,ซีพี,เบทาโกร,ไทยฟู้ดส์,Lotus's,Big C,Makro,ตลาดสดบางกะปิ,,,ซีพี,เบทาโกร,ไทยฟู้ดส์,Lotus's,Big C,Makro,ตลาดใหม่ชลบุรี
สะโพกTT,,เนื้อสะโพก,172,171,166,189,185,178,200,,เนื้อสะโพก,174,174,172,190,185,178,190
ไหล่TT,,เนื้อไหล่,167,164,162,189,185,169,200,,เนื้อไหล่,169,165,170,185,,175,190
สันนอกTT,,สันนอก,169,171,174,213,213,206,200,,สันนอก,171,170,184,200,218,198,190
สันในTT,,สันใน,185,176,171,265,264,226,200,,สันใน,186,183,176,230,,227,200
สันคอTT,,สันคอ,211,233,199,270,270,250,200,,สันคอ,213,228,234,280,270,252,230
สามชั้นTT,,สามชั้น,196,193,186,260,260,245,210,,สามชั้น,198,198,200,250,264,237,230
ซี่โครงแผ่นTT,,ซี่โครง,167,151,150,199,199,180,160,,ซี่โครง,169,165,171,195,,183,200
คอหมูย่างTT,,คอหมูย่าง,288,285,283,,,,270,,คอหมูย่าง,288,250,209,300,,307,250
ไหล่บด,,หมูบด,167,,,195,195,189,150,,หมูบด,159,165,,,198,179,170
ขาหลังเผาแบ่งคากิ,,ขาหมู,107,,,113,105,110,100,,ขาหมู,,,,,,111,
หัวติดลิ้น,,หัวติดลิ้น,65,65,63,,,,,,หัวติดลิ้น,67,70,64,,,,75
เครื่องในชุด(หมู),,เครื่องในชุด,79,80,80,,,,,,เครื่องในชุด,,,,,,,
,,เครื่องในลวกรวมหั่นชิ้น,,,,,,,75,,เครื่องในลวกรวมหั่นชิ้น,,,,,,,
ขาหน้าTT,,ขาหน้า,90,,,,,,,,ขาหน้า,90,94,85,,105,111,90
ขาหน้าเผาTT,,ขาหน้าเผา,93,84,91,,,,100,,ขาหน้าเผา,95,,,,,,
ขาหลังTT,,ขาหลัง,102,,,,,,,,ขาหลัง,102,104,91,,,116,110
ขาหลังเผาTT,,ขาหลังเผา,105,98,101,,,,100,,ขาหลังเผา,106,,,,,,
มันสันหลังTT,,มันสันหลัง,85,,,,,,,,มันสันหลัง,86,,,,,,90
มันแข็งTT,,มันแข็ง,80,86,89,,,,,,มันแข็ง,82,85,88,,,92,80
เศษมันTT,,เศษมัน         ,72,,58,,,,,,เศษมัน         ,73,,77,,,,75
หนังสันหลังTT,,หนังสันหลัง,76,,78,,,,,,หนังสันหลัง,77,75,76,,,,80
หนังสะโพก,,หนังสะโพก,72,,,,,,,,หนังสะโพก,73,,,,,,85
หนังหมูรวมTT,,หนังหมูรวม,66,,,,,,,,หนังหมูรวม,68,,,,,84,80
กระดูกซุปTT,,กระดูกซุป,64,64,50,,,,70,,กระดูกซุป,65,,65,,,83,65
