สภาวะราคาของชิ้นส่วนหลัก Wk4 (27.1.65 - 2.2.65),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
รายการ,BKK (เขตบางกะปิ),,,,,,,,รายการ,EST (ชลบุรี),,,,,,
สินค้า,ค้าส่ง,,,ค้าปลีก,,,,,สินค้า,ค้าส่ง,,,ค้าปลีก,,,
,ซีพี,เบทาโกร,ไทยฟู้ดส์,Lotus's,Big C,Makro,ตลาดบางกะปิ,,,ซีพี,เบทาโกร,ไทยฟู้ดส์,Lotus's,Big C,Makro,ตลาดใหม่ชลบุรี
เนื้อสะโพก,170,160,158,180,185,175,165,,เนื้อสะโพก,169,155,160,185,185,175,180
เนื้อไหล่,166,150,154,180,185,174,165,,เนื้อไหล่,165,150,155,185,185,170,180
สันนอก,175,170,168,213,199,207,170,,สันนอก,175,160,158,215,219,207,200
สันใน,190,160,167,,,,170,,สันใน,193,165,168,239,235,229,200
สันคอ,239,190,202,213,231,234,180,,สันคอ,238,190,195,243,243,238,220
สามชั้น,201,190,204,243,248,233,200,,สามชั้น,218,210,190,248,248,239,220
ซี่โครง,166,150,150,182,182,170,150,,ซี่โครง,164,162,165,190,183,180,180
หมูบด,139,,,199,189,195,145,,หมูบด,155,150,145,199,199,188,185
ขาหมู,93,90,95,110,105,107,90,,ขาหมู,90,80,85,113,110,115,95
,,,,,,,,,,,,,,,,
รายการ,CTW (สระบุรี),,,,,,,,รายการ,SOT (นครศรีธรรมราช),,,,,,
สินค้า,ค้าส่ง,,,ค้าปลีก,,,,,สินค้า,ค้าส่ง,,,ค้าปลีก,,,
,ซีพี,เบทาโกร,ไทยฟู้ดส์,Lotus's,Big C,Makro,ตลาดสืบศิริ,,,ซีพี,เบทาโกร,ไทยฟู้ดส์,Lotus's,Big C,Makro,ตลาดสด
เนื้อสะโพก,167,160,180,204,185,175,220,,เนื้อสะโพก,160,150,,185,180,174,170
เนื้อไหล่,164,150,176,209,255,174,180,,เนื้อไหล่,155,148,,183,175,175,170
สันนอก,170,170,190,220,219,202,220,,สันนอก,170,160,,200,195,189,180
สันใน,190,160,190,229,220,216,220,,สันใน,170,165,,215,210,203,180
สันคอ,239,190,240,265,243,234,220,,สันคอ,225,190,,240,230,223,190
สามชั้น,199,190,210,260,248,236,220,,สามชั้น,200,175,,225,225,220,200
ซี่โครง,162,150,186,190,182,180,170,,ซี่โครง,160,140,,190,185,181,170
หมูบด,134,155,187,199,199,187,200,,หมูบด,160,155,,190,185,180,175
ขาหมู,89,90,98,113,105,100,105,,ขาหมู,90,85,,110,110,102,100
,,,,,,,,,,,,,,,,
รายการ,UNE (ขอนแก่น),,,,,,,,รายการ,LNE (นครราชสีมา),,,,,,
สินค้า,ค้าส่ง,,,ค้าปลีก,,,,,สินค้า,ค้าส่ง,,,ค้าปลีก,,,
,ซีพี,เบทาโกร,ไทยฟู้ดส์,Lotus's,Big C,Makro,ตลาดบางลำพู,,,ซีพี,เบทาโกร,RMC,Lotus's,Big C,Makro,ตลาดย่าโม
เนื้อสะโพก,175,165,183,185,182,182,190,,เนื้อสะโพก,170,170,165,185,185,175,185
เนื้อไหล่,170,160,180,184,,169,170,,เนื้อไหล่,165,165,160,185,185,175,185
สันนอก,174,175,190,219,220,216,210,,สันนอก,173,180,175,219,219,215,200
สันใน,174,175,185,239,245,230,210,,สันใน,175,170,165,229,,212,200
สันคอ,245,208,243,243,249,245,230,,สันคอ,247,225,235,257,243,242,230
สามชั้น,201,190,215,248,239,219,230,,สามชั้น,201,210,200,236,248,229,210
ซี่โครง,165,170,185,182,,185,150,,ซี่โครง,161,170,150,187,182,181,180
หมูบด,136,165,149,199,188,149,170,,หมูบด,135,170,165,199,199,175,185
ขาหมู,93,85,119,113,113,111,100,,ขาหมู,90,85,80,,,108,100
,,,,,,,,,,,,,,,,
รายการ,UNO (เชียงใหม่),,,,,,,,รายการ,LNO (พิษณุโลก),,,,,,
สินค้า,ค้าส่ง,,,ค้าปลีก,,,,,สินค้า,ค้าส่ง,,,ค้าปลีก,,,
,ซีพี,เบทาโกร,ไทยฟู้ดส์,Lotus's,Big C,Makro,ตลาดเมืองใหม่,,,ซีพี,เบทาโกร,ไทยฟู้ดส์,Lotus's,Big C,Makro,ตลาดสด
เนื้อสะโพก,173,170,180,185,185,175,180,,เนื้อสะโพก,170,165,168,185,185,175,190
เนื้อไหล่,171,172,175,185,185,174,175,,เนื้อไหล่,165,160,164,,,174,180
สันนอก,185,190,190,215,229,211,190,,สันนอก,175,170,170,219,219,200,200
สันใน,192,190,178,239,,247,190,,สันใน,190,180,170,239,229,217,210
สันคอ,245,210,240,243,243,240,230,,สันคอ,240,230,230,243,243,246,250
สามชั้น,222,215,210,248,248,252,230,,สามชั้น,210,210,210,248,248,237,240
ซี่โครง,167,160,185,190,182,180,170,,ซี่โครง,160,160,158,182,182,176,180
หมูบด,170,160,ไม่มี,199,199,199,180,,หมูบด,165,160,160,199,199,188,190
ขาหมู,107,90,110,113,113,,120,,ขาหมู,90,85,85,113,113,112,120
