"","Product_code","PriceperKg","d1","week_num"
"1","23000125",169,2022-01-06,"01"
"2","23000125",171,2022-01-07,"01"
"3","23000125",179,2022-01-13,"02"
"4","23000125",174,2022-01-20,"03"
"5","23000125",166,2022-01-27,"04"
"6","23000125",155,2022-02-03,"05"
"7","23000125",141,2022-02-10,"06"
"8","23000125",127,2022-02-17,"07"
"9","23000125",119,2022-02-22,"08"
"10","23000125",119,2022-03-01,"09"
"11","23000125",128,2022-03-09,"10"
"12","23000125",128,2022-03-10,"10"
"13","23000125",127,2022-03-12,"10"
"14","23000125",133,2022-03-16,"11"
"15","23000125",132,2022-03-17,"11"
"16","23000125",135,2022-03-31,"13"
"17","23000125",138,2022-04-07,"14"
"18","23000125",147,2022-04-21,"16"
"19","23000125",152,2022-04-28,"17"
"20","23000125",156,2022-05-05,"18"
"21","23000126",173,2022-01-06,"01"
"22","23000126",175,2022-01-07,"01"
"23","23000126",183,2022-01-13,"02"
"24","23000126",179,2022-01-20,"03"
"25","23000126",170,2022-01-27,"04"
"26","23000126",159,2022-02-03,"05"
"27","23000126",146,2022-02-10,"06"
"28","23000126",131,2022-02-17,"07"
"29","23000126",123,2022-02-22,"08"
"30","23000126",123,2022-03-01,"09"
"31","23000126",132,2022-03-09,"10"
"32","23000126",138,2022-03-16,"11"
"33","23000126",137,2022-03-17,"11"
"34","23000126",140,2022-03-31,"13"
"35","23000126",143,2022-04-07,"14"
"36","23000126",152,2022-04-21,"16"
"37","23000126",157,2022-04-28,"17"
"38","23000126",161,2022-05-05,"18"
"39","23000130",170,2022-01-06,"01"
"40","23000130",172,2022-01-07,"01"
"41","23000130",179,2022-01-13,"02"
"42","23000130",178,2022-01-20,"03"
"43","23000130",169,2022-01-27,"04"
"44","23000130",157,2022-02-03,"05"
"45","23000130",145,2022-02-10,"06"
"46","23000130",135,2022-02-17,"07"
"47","23000130",126,2022-02-22,"08"
"48","23000130",126,2022-03-01,"09"
"49","23000130",134,2022-03-09,"10"
"50","23000130",139,2022-03-16,"11"
"51","23000130",138,2022-03-17,"11"
"52","23000130",141,2022-03-31,"13"
"53","23000130",143,2022-04-07,"14"
"54","23000130",150,2022-04-21,"16"
"55","23000130",157,2022-04-28,"17"
"56","23000130",159,2022-05-05,"18"
"57","23000134",188,2022-01-06,"01"
"58","23000134",190,2022-01-07,"01"
"59","23000134",185,2022-01-13,"02"
"60","23000134",175,2022-01-27,"04"
"61","23000134",164,2022-02-03,"05"
"62","23000134",152,2022-02-10,"06"
"63","23000134",141,2022-02-17,"07"
"64","23000134",140,2022-02-18,"07"
"65","23000134",125,2022-02-22,"08"
"66","23000134",125,2022-03-01,"09"
"67","23000134",129,2022-03-10,"10"
"68","23000134",131,2022-03-16,"11"
"69","23000134",130,2022-03-17,"11"
"70","23000134",138,2022-03-31,"13"
"71","23000134",139,2022-04-01,"13"
"72","23000134",144,2022-04-07,"14"
"73","23000134",156,2022-04-21,"16"
"74","23000134",160,2022-04-28,"17"
"75","23000134",164,2022-05-05,"18"
"76","23000141",192,2022-01-06,"01"
"77","23000141",194,2022-01-07,"01"
"78","23000141",203,2022-01-20,"03"
"79","23000141",190,2022-01-27,"04"
