"Product_code","Product_name","PriceperKg","d1","week_num"
"23057671","คอหมูย่างTT",270,"1/7/2022","1"
"23057671","คอหมูย่างTT",285,"1/13/2022","2"
"23057671","คอหมูย่างTT",285,"1/20/2022","3"
"23057671","คอหมูย่างTT",280,"1/27/2022","4"
"23057671","คอหมูย่างTT",280,"2/3/2022","5"
"23057671","คอหมูย่างTT",270,"2/10/2022","6"
"23057671","คอหมูย่างTT",267,"2/17/2022","7"
"23057671","คอหมูย่างTT",267,"2/24/2022","8"
"23057671","คอหมูย่างTT",267,"3/1/2022","9"
"23057671","คอหมูย่างTT",267,"3/8/2022","10"
"23057671","คอหมูย่างTT",255,"3/17/2022","11"
"23057671","คอหมูย่างTT",235,"3/23/2022","12"
"23057671","คอหมูย่างTT",235,"3/30/2022","13"
"23057671","คอหมูย่างTT",235,"4/6/2022","14"
"23057671","คอหมูย่างTT",235,"4/13/2022","15"
"23057671","คอหมูย่างTT",259,"4/21/2022","16"
"23057671","คอหมูย่างTT",263,"4/28/2022","17"
"23057671","คอหมูย่างTT",265,"5/5/2022","18"
"23057672","ไหล่TT",171,"1/7/2022","1"
"23057672","ไหล่TT",179,"1/13/2022","2"
"23057672","ไหล่TT",174,"1/20/2022","3"
"23057672","ไหล่TT",166,"1/27/2022","4"
"23057672","ไหล่TT",155,"2/3/2022","5"
"23057672","ไหล่TT",141,"2/10/2022","6"
"23057672","ไหล่TT",123,"2/17/2022","7"
"23057672","ไหล่TT",118,"2/22/2022","8"
"23057672","ไหล่TT",118,"3/1/2022","9"
"23057672","ไหล่TT",127,"3/9/2022","10"
"23057672","ไหล่TT",132,"3/17/2022","11"
"23057672","ไหล่TT",132,"3/24/2022","12"
"23057672","ไหล่TT",135,"3/31/2022","13"
"23057672","ไหล่TT",138,"4/7/2022","14"
"23057672","ไหล่TT",138,"4/14/2022","15"
"23057672","ไหล่TT",147,"4/21/2022","16"
"23057672","ไหล่TT",152,"4/28/2022","17"
"23057672","ไหล่TT",157,"5/5/2022","18"
"23057673","สะโพกTT",173,"1/7/2022","1"
"23057673","สะโพกTT",181,"1/13/2022","2"
"23057673","สะโพกTT",180,"1/20/2022","3"
"23057673","สะโพกTT",170,"1/27/2022","4"
"23057673","สะโพกTT",158,"2/3/2022","5"
"23057673","สะโพกTT",147,"2/10/2022","6"
"23057673","สะโพกTT",132,"2/17/2022","7"
"23057673","สะโพกTT",125,"2/22/2022","8"
"23057673","สะโพกTT",125,"3/1/2022","9"
"23057673","สะโพกTT",133,"3/9/2022","10"
"23057673","สะโพกTT",137,"3/17/2022","11"
"23057673","สะโพกTT",137,"3/24/2022","12"
"23057673","สะโพกTT",141,"3/31/2022","13"
"23057673","สะโพกTT",143,"4/7/2022","14"
"23057673","สะโพกTT",143,"4/14/2022","15"
"23057673","สะโพกTT",150,"4/21/2022","16"
"23057673","สะโพกTT",157,"4/28/2022","17"
"23057673","สะโพกTT",160,"5/5/2022","18"
"23057674","สันนอกTT",190,"1/7/2022","1"
"23057674","สันนอกTT",185,"1/13/2022","2"
"23057674","สันนอกTT",185,"1/20/2022","3"
"23057674","สันนอกTT",175,"1/27/2022","4"
"23057674","สันนอกTT",164,"2/3/2022","5"
"23057674","สันนอกTT",152,"2/10/2022","6"
"23057674","สันนอกTT",137,"2/17/2022","7"
"23057674","สันนอกTT",125,"2/22/2022","8"
"23057674","สันนอกTT",125,"3/1/2022","9"
"23057674","สันนอกTT",129,"3/10/2022","10"
"23057674","สันนอกTT",130,"3/17/2022","11"
"23057674","สันนอกTT",130,"3/24/2022","12"
"23057674","สันนอกTT",138,"3/31/2022","13"
"23057674","สันนอกTT",144,"4/7/2022","14"
"23057674","สันนอกTT",144,"4/14/2022","15"
"23057674","สันนอกTT",156,"4/21/2022","16"
"23057674","สันนอกTT",160,"4/28/2022","17"
"23057674","สันนอกTT",165,"5/5/2022","18"
"23057675","สันในTT",192,"1/6/2022","1"
"23057675","สันในTT",194,"1/13/2022","2"
"23057675","สันในTT",203,"1/20/2022","3"
"23057675","สันในTT",190,"1/27/2022","4"
"23057675","สันในTT",181,"2/3/2022","5"
"23057675","สันในTT",166,"2/10/2022","6"
"23057675","สันในTT",159,"2/17/2022","7"
"23057675","สันในTT",145,"2/22/2022","8"
"23057675","สันในTT",145,"3/1/2022","9"
"23057675","สันในTT",145,"3/9/2022","10"
"23057675","สันในTT",144,"3/17/2022","11"
"23057675","สันในTT",144,"3/24/2022","12"
"23057675","สันในTT",144,"3/31/2022","13"
"23057675","สันในTT",144,"4/2/2022","14"
"23057675","สันในTT",144,"4/14/2022","15"
"23057675","สันในTT",150,"4/21/2022","16"
"23057675","สันในTT",155,"4/28/2022","17"
"23057675","สันในTT",162,"5/5/2022","18"
"23057676","สันคอTT",231,"1/7/2022","1"
"23057676","สันคอTT",239,"1/13/2022","2"
"23057676","สันคอTT",239,"1/20/2022","3"
"23057676","สันคอTT",239,"1/27/2022","4"
"23057676","สันคอTT",239,"2/3/2022","5"
"23057676","สันคอTT",234,"2/10/2022","6"
"23057676","สันคอTT",230,"2/17/2022","7"
"23057676","สันคอTT",226,"2/22/2022","8"
"23057676","สันคอTT",226,"3/1/2022","9"
"23057676","สันคอTT",226,"3/9/2022","10"
"23057676","สันคอTT",225,"3/17/2022","11"
"23057676","สันคอTT",225,"3/24/2022","12"
"23057676","สันคอTT",225,"3/31/2022","13"
"23057676","สันคอTT",225,"4/7/2022","14"
"23057676","สันคอTT",225,"4/14/2022","15"
"23057676","สันคอTT",230,"4/21/2022","16"
"23057676","สันคอTT",232,"4/28/2022","17"
"23057677","สามชั้นTT",218,"1/7/2022","1"
"23057677","สามชั้นTT",228,"1/13/2022","2"
"23057677","สามชั้นTT",220,"1/20/2022","3"
"23057677","สามชั้นTT",201,"1/27/2022","4"
"23057677","สามชั้นTT",191,"2/3/2022","5"
"23057677","สามชั้นTT",179,"2/10/2022","6"
"23057677","สามชั้นTT",167,"2/17/2022","7"
"23057677","สามชั้นTT",155,"2/22/2022","8"
"23057677","สามชั้นTT",155,"3/1/2022","9"
"23057677","สามชั้นTT",154,"3/9/2022","10"
"23057677","สามชั้นTT",157,"3/17/2022","11"
"23057677","สามชั้นTT",157,"3/24/2022","12"
"23057677","สามชั้นTT",165,"3/31/2022","13"
"23057677","สามชั้นTT",170,"4/7/2022","14"
"23057677","สามชั้นTT",174,"4/11/2022","15"
"23057677","สามชั้นTT",176,"4/21/2022","16"
"23057677","สามชั้นTT",183,"4/28/2022","17"
"23057677","สามชั้นTT",185,"5/5/2022","18"
"23057678","ซี่โครงแผ่นTT",166,"1/6/2022","1"
"23057678","ซี่โครงแผ่นTT",175,"1/13/2022","2"
"23057678","ซี่โครงแผ่นTT",175,"1/20/2022","3"
"23057678","ซี่โครงแผ่นTT",166,"1/27/2022","4"
"23057678","ซี่โครงแผ่นTT",161,"2/3/2022","5"
"23057678","ซี่โครงแผ่นTT",153,"2/10/2022","6"
"23057678","ซี่โครงแผ่นTT",141,"2/17/2022","7"
"23057678","ซี่โครงแผ่นTT",120,"2/22/2022","8"
"23057678","ซี่โครงแผ่นTT",120,"3/1/2022","9"
"23057678","ซี่โครงแผ่นTT",125,"3/9/2022","10"
"23057678","ซี่โครงแผ่นTT",124,"3/17/2022","11"
"23057678","ซี่โครงแผ่นTT",125,"3/24/2022","12"
"23057678","ซี่โครงแผ่นTT",129,"3/31/2022","13"
"23057678","ซี่โครงแผ่นTT",131,"4/7/2022","14"
"23057678","ซี่โครงแผ่นTT",133,"4/11/2022","15"
"23057678","ซี่โครงแผ่นTT",147,"4/21/2022","16"
"23057678","ซี่โครงแผ่นTT",148,"4/28/2022","17"
"23057678","ซี่โครงแผ่นTT",150,"5/5/2022","18"
"23069300","ชิ้นเนื้อหมูบดTT",151,"1/6/2022","1"
"23069300","ชิ้นเนื้อหมูบดTT",152,"1/13/2022","2"
"23069300","ชิ้นเนื้อหมูบดTT",149,"1/20/2022","3"
"23069300","ชิ้นเนื้อหมูบดTT",139,"1/27/2022","4"
"23069300","ชิ้นเนื้อหมูบดTT",128,"2/3/2022","5"
"23069300","ชิ้นเนื้อหมูบดTT",115,"2/10/2022","6"
"23069300","ชิ้นเนื้อหมูบดTT",106,"2/17/2022","7"
"23069300","ชิ้นเนื้อหมูบดTT",100,"2/22/2022","8"
"23069300","ชิ้นเนื้อหมูบดTT",100,"3/1/2022","9"
"23069300","ชิ้นเนื้อหมูบดTT",109,"3/9/2022","10"
"23069300","ชิ้นเนื้อหมูบดTT",115,"3/16/2022","11"
"23069300","ชิ้นเนื้อหมูบดTT",114,"3/24/2022","12"
"23069300","ชิ้นเนื้อหมูบดTT",119,"3/31/2022","13"
"23069300","ชิ้นเนื้อหมูบดTT",121,"4/7/2022","14"
"23069300","ชิ้นเนื้อหมูบดTT",123,"4/11/2022","15"
"23069300","ชิ้นเนื้อหมูบดTT",129,"4/21/2022","16"
"23069300","ชิ้นเนื้อหมูบดTT",134,"4/28/2022","17"
"23069300","ชิ้นเนื้อหมูบดTT",140,"5/5/2022","18"
"23057676","สันคอTT",232,"5/5/2022","18"
"23057671","คอหมูย่างTT",270,"5/12/2022","19"
"23057672","ไหล่TT",167,"5/12/2022","19"
"23057673","สะโพกTT",170,"5/12/2022","19"
"23057674","สันนอกTT",175,"5/12/2022","19"
"23057675","สันในTT",175,"5/12/2022","19"
"23057676","สันคอTT",233,"5/12/2022","19"
"23057677","สามชั้นTT",195,"5/12/2022","19"
"23057678","ซี่โครงแผ่นTT",164,"5/12/2022","19"
"23069300","ชิ้นเนื้อหมูบดTT",151,"5/12/2022","19"
"23057671","คอหมูย่างTT",275,"5/19/2022","20"
"23057672","ไหล่TT",169,"5/19/2022","20"
"23057673","สะโพกTT",172,"5/19/2022","20"
"23057674","สันนอกTT",177,"5/19/2022","20"
"23057675","สันในTT",182,"5/19/2022","20"
"23057676","สันคอTT",220,"5/19/2022","20"
"23057677","สามชั้นTT",197,"5/19/2022","20"
"23057678","ซี่โครงแผ่นTT",166,"5/19/2022","20"
"23069300","ชิ้นเนื้อหมูบดTT",161,"5/19/2022","20"
"23057671","คอหมูย่างTT",280,"5/26/2022","21"
"23057672","ไหล่TT",169,"5/26/2022","21"
"23057673","สะโพกTT",172,"5/26/2022","21"
"23057674","สันนอกTT",177,"5/26/2022","21"
"23057675","สันในTT",183,"5/26/2022","21"
"23057676","สันคอTT",220,"5/26/2022","21"
"23057677","สามชั้นTT",197,"5/26/2022","21"
"23057678","ซี่โครงแผ่นTT",167,"5/26/2022","21"
"23069300","ชิ้นเนื้อหมูบดTT",161,"5/26/2022","21"
