WK,   Forecast ,   Quota ,   Order ,   Delivery 
2022-01," 99,138 "," 65,298 "," 81,378 "," 70,221 "
2022-02," 83,184 "," 96,766 "," 70,931 "," 67,373 "
2022-03," 79,192 "," 72,576 "," 82,774 "," 81,543 "
2022-04," 77,917 "," 70,849 "," 79,094 "," 76,841 "
2022-05," 78,751 "," 67,821 "," 68,521 "," 66,318 "
2022-06," 78,741 "," 44,132 "," 66,944 "," 64,183 "
2022-07," 56,442 "," 49,522 "," 71,047 "," 69,409 "
2022-08," 59,826 "," 51,555 "," 86,008 "," 81,685 "
2022-09," 60,078 "," 54,676 "," 88,928 "," 81,273 "
2022-10," 70,341 "," 55,856 "," 122,098 "," 107,834 "
2022-11," 88,842 "," 70,887 "," 135,281 "," 112,355 "
2022-12," 99,289 "," 97,742 "," 143,491 "," 116,951 "
2022-13," 112,102 "," 111,534 "," 134,206 "," 102,959 "
2022-14," 119,284 "," 100,815 "," 146,728 "," 111,360 "
2022-15," 146,345 "," 122,952 "," 115,788 "," 96,665 "
2022-16," 126,575 "," 108,950 "," 98,273 "," 86,526 "
2022-17," 108,952 "," 99,242 "," 99,544 "," 91,193 "
2022-18," 112,829 "," 86,721 "," 92,782 "," 80,183 "
2022-19," 101,255 "," 92,500 "," 88,399 "," 83,436 "
2022-20," 100,052 "," 90,394 "," 84,307 "," 80,533 "
2022-21," 90,963 "," 79,841 "," 15,997 "," 14,770 "
