WK,   Forecast ,   Quota ,   Order ,   Delivery 
2022-01," 71,194 "," 38,153 "," 54,394 "," 40,092 "
2022-02," 66,284 "," 35,918 "," 48,232 "," 42,483 "
2022-03," 66,928 "," 33,985 "," 38,656 "," 33,901 "
2022-04," 62,483 "," 29,990 "," 37,346 "," 29,903 "
2022-05," 63,089 "," 27,239 "," 33,874 "," 32,059 "
2022-06," 35,517 "," 24,377 "," 33,796 "," 30,369 "
2022-07," 38,197 "," 23,717 "," 33,828 "," 31,825 "
2022-08," 36,275 "," 25,143 "," 34,598 "," 28,935 "
2022-09," 34,068 "," 23,553 "," 34,645 "," 29,386 "
2022-10," 39,696 "," 28,745 "," 34,399 "," 31,725 "
2022-11," 35,452 "," 30,166 "," 33,269 "," 28,106 "
2022-12," 37,156 "," 37,169 "," 40,086 "," 36,814 "
2022-13," 35,482 "," 35,483 "," 45,579 "," 44,737 "
2022-14," 49,373 "," 48,094 "," 50,456 "," 49,623 "
2022-15," 63,604 "," 60,625 "," 48,523 "," 45,926 "
2022-16," 47,248 "," 43,570 "," 35,465 "," 34,404 "
2022-17," 39,856 "," 36,101 "," 31,197 "," 30,100 "
2022-18," 47,722 "," 46,144 "," 37,667 "," 36,493 "
2022-19," 43,449 "," 42,919 "," 37,879 "," 37,274 "
2022-20," 39,152 "," 38,113 "," 32,549 "," 31,881 "
2022-21," 34,174 "," 31,246 "," 6,691 "," 6,569 "
