WK,   Forecast ,   Quota ,   Order ,   Delivery 
2022-01," 32,383 "," 33,846 "," 42,542 "," 40,619 "
2022-02," 33,328 "," 33,096 "," 37,567 "," 31,258 "
2022-03," 32,666 "," 33,393 "," 31,493 "," 28,977 "
2022-04," 31,360 "," 29,425 "," 33,550 "," 30,950 "
2022-05," 28,031 "," 29,664 "," 33,534 "," 32,478 "
2022-06," 28,438 "," 28,290 "," 34,202 "," 31,450 "
2022-07," 29,556 "," 27,518 "," 40,575 "," 37,345 "
2022-08," 30,598 "," 29,895 "," 45,073 "," 41,840 "
2022-09," 36,580 "," 35,236 "," 49,009 "," 44,034 "
2022-10," 40,451 "," 33,518 "," 52,368 "," 48,864 "
2022-11," 38,281 "," 32,256 "," 55,970 "," 54,927 "
2022-12," 47,973 "," 46,681 "," 46,711 "," 43,388 "
2022-13," 53,876 "," 50,985 "," 53,752 "," 44,530 "
2022-14," 45,521 "," 38,616 "," 71,632 "," 55,696 "
2022-15," 60,302 "," 46,344 "," 62,365 "," 39,819 "
2022-16," 51,754 "," 37,911 "," 68,725 "," 47,712 "
2022-17," 56,240 "," 48,223 "," 58,295 "," 47,230 "
2022-18," 55,626 "," 40,796 "," 55,828 "," 39,309 "
2022-19," 52,656 "," 39,038 "," 56,445 "," 45,477 "
2022-20," 49,190 "," 38,301 "," 45,527 "," 40,475 "
2022-21," 48,266 "," 36,719 "," 6,108 "," 5,105 "
