WK,   Forecast ,   Quota ,   Order ,   Delivery 
2022-01," 54,584 "," 55,464 "," 86,716 "," 81,118 "
2022-02," 66,697 "," 71,430 "," 55,570 "," 54,990 "
2022-03," 69,111 "," 73,315 "," 52,970 "," 52,616 "
2022-04," 68,642 "," 68,252 "," 54,584 "," 54,208 "
2022-05," 88,229 "," 85,923 "," 73,163 "," 72,743 "
2022-06," 69,526 "," 70,817 "," 57,457 "," 56,963 "
2022-07," 72,455 "," 67,445 "," 79,888 "," 79,287 "
2022-08," 74,869 "," 77,366 "," 91,772 "," 88,593 "
2022-09," 78,691 "," 68,633 "," 87,754 "," 84,995 "
2022-10," 93,714 "," 74,753 "," 118,636 "," 117,442 "
2022-11," 97,296 "," 78,330 "," 86,060 "," 85,150 "
2022-12," 75,722 "," 101,726 "," 81,486 "," 79,934 "
2022-13," 90,359 "," 90,269 "," 95,036 "," 93,772 "
2022-14," 78,349 "," 77,961 "," 71,271 "," 67,294 "
2022-15," 92,274 "," 90,057 "," 82,609 "," 75,472 "
2022-16," 77,034 "," 73,810 "," 83,442 "," 77,370 "
2022-17," 71,529 "," 68,955 "," 87,165 "," 84,779 "
2022-18," 82,473 "," 76,396 "," 69,616 "," 64,854 "
2022-19," 83,047 "," 78,280 "," 77,920 "," 74,122 "
2022-20," 82,888 "," 76,858 "," 77,100 "," 76,184 "
2022-21," 70,899 "," 63,042 "," 14,890 "," 14,766 "
