WK,   Forecast ,   Quota ,   Order ,   Delivery 
2022-01," 65,390 "," 63,671 "," 65,834 "," 62,328 "
2022-02," 68,640 "," 72,299 "," 50,735 "," 49,452 "
2022-03," 70,708 "," 69,216 "," 47,246 "," 46,957 "
2022-04," 65,623 "," 64,473 "," 44,231 "," 43,828 "
2022-05," 67,140 "," 63,140 "," 47,986 "," 47,222 "
2022-06," 40,963 "," 42,342 "," 54,789 "," 52,833 "
2022-07," 46,269 "," 41,207 "," 65,029 "," 63,403 "
2022-08," 49,183 "," 45,802 "," 74,835 "," 73,108 "
2022-09," 49,785 "," 44,501 "," 86,041 "," 79,675 "
2022-10," 68,614 "," 55,942 "," 104,707 "," 99,325 "
2022-11," 75,747 "," 64,731 "," 94,267 "," 88,948 "
2022-12," 108,046 "," 84,104 "," 97,251 "," 91,029 "
2022-13," 85,950 "," 83,470 "," 95,167 "," 88,638 "
2022-14," 98,063 "," 87,116 "," 96,060 "," 81,612 "
2022-15," 107,887 "," 89,783 "," 75,293 "," 58,619 "
2022-16," 88,499 "," 73,388 "," 73,397 "," 66,710 "
2022-17," 77,456 "," 64,512 "," 75,866 "," 65,938 "
2022-18," 82,022 "," 54,495 "," 63,367 "," 50,848 "
2022-19," 76,153 "," 57,428 "," 63,577 "," 54,103 "
2022-20," 68,569 "," 58,010 "," 60,012 "," 54,279 "
2022-21," 63,335 "," 49,980 "," 11,844 "," 10,453 "
