"week","Product_code","Product_name","Price_kg","date","halfpigprice","quota","Order","Part","CP","Betagro","Thaifoods","BKK Remainder","กทม.","กลาง","ตะวันตก","ตะวันออก","Mid Remainder"
3,23057678,"ซี่โครงแผ่นTT",175,"1/20/2022",124,33985,38656,"ซี่โครง","175",150,164,133.2,133.2,48.24,1338.27,1053.1,2572.81
4,23057678,"ซี่โครงแผ่นTT",166,"1/27/2022",117,29990,37346,"ซี่โครง","166",150,150,149.21,149.21,126.9,891.4,870.7,2038.21
5,23057678,"ซี่โครงแผ่นTT",161,"2/3/2022",106,27239,33874,"ซี่โครง","161",150,138,216.98,216.98,77.25,897.95,743.96,1936.14
6,23057678,"ซี่โครงแผ่นTT",153,"2/10/2022",100,24377,33796,"ซี่โครง","153",138,126,129.85,129.85,6.34,781.09,320,1237.28
7,23057678,"ซี่โครงแผ่นTT",141,"2/17/2022",91,23717,33828,"ซี่โครง","141",130,118,NA,NA,143.24,2011.38,194.1,2348.72
8,23057678,"ซี่โครงแผ่นTT",120,"2/22/2022",90,25143,34598,"ซี่โครง","120",130,120,18.04,18.04,124.14,573.15,629.6,1344.93
9,23057678,"ซี่โครงแผ่นTT",120,"3/1/2022",90,23553,34645,"ซี่โครง","120",130,120,142.24,142.24,102.09,127.36,1258.9,1630.59
10,23057678,"ซี่โครงแผ่นTT",125,"3/9/2022",95,28745,34399,"ซี่โครง","125",125,124,54.39,54.39,55.66,669.1,995.8,1774.95
11,23057678,"ซี่โครงแผ่นTT",124,"3/17/2022",97,30166,33269,"ซี่โครง","125",125,124,71.85,71.85,793.28,NA,928.24,1793.37
12,23057678,"ซี่โครงแผ่นTT",125,"3/24/2022",98,37169,40086,"ซี่โครง","125",125,124,24.53,24.53,62.01,507.45,203.21,797.2
13,23057678,"ซี่โครงแผ่นTT",129,"3/31/2022",99,35483,45579,"ซี่โครง","130",128,124,148.62,148.62,61.99,500.22,265.5,976.33
14,23057678,"ซี่โครงแผ่นTT",131,"4/7/2022",104,48094,50456,"ซี่โครง","132",130,127,79.31,79.31,255.56,170.59,754.28,1259.74
15,23057678,"ซี่โครงแผ่นTT",133,"4/11/2022",105,60625,48523,"ซี่โครง","148",125,130,16.46,16.46,249.51,141.91,391.79,799.67
16,23057678,"ซี่โครงแผ่นTT",147,"4/21/2022",109,43570,35465,"ซี่โครง","148",125,130,67.41,67.41,201.32,135.52,485.07,889.32
17,23057678,"ซี่โครงแผ่นTT",148,"4/28/2022",111,36101,31197,"ซี่โครง","148",130,134,60.35,60.35,159.21,179.9,438,837.46
18,23057678,"ซี่โครงแผ่นTT",150,"5/5/2022",114,46144,37667,"ซี่โครง","150",130,138,60.5,60.5,381.93,320.33,1061.1,1823.86
19,23057678,"ซี่โครงแผ่นTT",164,"5/12/2022",120,42919,37879,"ซี่โครง","165",135,142,10.45,10.45,126.32,663.43,1092.8,1893
20,23057678,"ซี่โครงแผ่นTT",166,"5/19/2022",123,37943,32561,"ซี่โครง","166",148,146,101.47,101.47,39.77,233.24,319.66,694.14
21,23057678,"ซี่โครงแผ่นTT",167,"5/26/2022",125,31246,44382,"ซี่โครง","167",151,150,107.44,107.44,87.61,317.3,509.13,1021.48
22,23057678,"ซี่โครงแผ่นTT",167,"2/6/2022",127,39908,43934,"ซี่โครง","167",151,150,NA,NA,NA,NA,NA,NA
23,NA,NA,NA,NA,NA,38992,23458,"ซี่โครง","167",151,150,NA,NA,NA,NA,NA,NA
