week,Product_code,Product_name,Price_kg,date,halfpigprice,quota,Order,Part,CP,Betagro,Thaifoods,BKK Remainder,กทม.,กลาง,ตะวันตก,ตะวันออก,Mid Remainder,Average
3,23057672,ไหล่TT,174,1/20/2022,124,73315,52970,เนื้อไหล่,174,150,164,531.19,531.19,84.1,1231.07,355.49,2201.85,314.55
4,23057672,ไหล่TT,166,1/27/2022,117,68252,54584,เนื้อไหล่,166,150,154,245.4,245.4,325.44,1901.24,784.47,3256.55,465.2214286
5,23057672,ไหล่TT,155,2/3/2022,106,85923,73163,เนื้อไหล่,155,145,144,891.6,891.6,388.55,1013.1,1083.8,3377.05,482.4357143
6,23057672,ไหล่TT,141,2/10/2022,100,70817,57457,เนื้อไหล่,141,137,126,665.03,665.03,318.68,1335.61,504.9,2824.22,403.46
7,23057672,ไหล่TT,123,2/17/2022,91,67445,79888,เนื้อไหล่,125,123,118,261.15,261.15,196.54,658.01,726.77,1842.47,263.21
8,23057672,ไหล่TT,118,2/22/2022,90,77366,91772,เนื้อไหล่,118,117,118,258.75,258.75,417.09,814.53,1291.89,2782.26,397.4657143
9,23057672,ไหล่TT,118,3/1/2022,90,68633,87754,เนื้อไหล่,118,120,120,501.19,501.19,303.59,138.21,175.4,1118.39,159.77
10,23057672,ไหล่TT,127,3/9/2022,95,74753,118636,เนื้อไหล่,127,122,128,124.55,124.55,105.98,540.1,294.5,1065.13,152.1614286
11,23057672,ไหล่TT,132,3/17/2022,97,78330,86060,เนื้อไหล่,132,125,131,341.45,341.45,280.53,83.01,790.56,1495.55,213.65
12,23057672,ไหล่TT,132,3/24/2022,98,101726,81486,เนื้อไหล่,132,125,131,227.69,227.69,133.24,188.9,37.9,587.73,83.96142857
13,23057672,ไหล่TT,135,3/31/2022,99,90269,95036,เนื้อไหล่,136,128,131,330.34,330.34,1204.02,1039.84,435.12,3009.32,429.9028571
14,23057672,ไหล่TT,138,4/7/2022,104,77961,71271,เนื้อไหล่,139,132,136,491.83,491.83,979.99,20.26,191.4,1683.48,240.4971429
15,23057672,ไหล่TT,138,4/14/2022,105,90057,82609,เนื้อไหล่,148,140,140,530.84,530.84,948.24,61.85,441.76,1982.69,283.2414286
16,23057672,ไหล่TT,147,4/21/2022,109,73810,83442,เนื้อไหล่,148,140,140,352.19,352.19,921.26,38.43,547.39,1859.27,265.61
17,23057672,ไหล่TT,152,4/28/2022,111,68955,87165,เนื้อไหล่,153,142,144,45.5,45.5,318.31,56.87,36.66,457.34,65.33428571
18,23057672,ไหล่TT,157,5/5/2022,114,76396,69616,เนื้อไหล่,157,145,148,108.48,108.48,1754.91,377.92,150.91,2392.22,341.7457143
19,23057672,ไหล่TT,167,5/12/2022,120,78280,77920,เนื้อไหล่,167,150,152,266.92,266.92,1532.45,441.05,423.35,2663.77,380.5385714
20,23057672,ไหล่TT,169,5/19/2022,123,76858,77936,เนื้อไหล่,169,155,158,40.01,40.01,1139.35,746.23,586.44,2512.03,358.8614286
21,23057672,ไหล่TT,169,5/26/2022,125,63192,73267,เนื้อไหล่,169,160,162,205.86,205.86,1708.75,275.28,284.43,2474.32,353.4742857
22,23057672,ไหล่TT,168,2/6/2022,127,62748,75806,เนื้อไหล่,168,164,162,NA,NA,NA,NA,NA,NA,NA
23,NA,NA,NA,NA,NA,69300,33359,เนื้อไหล่,167,164,162,NA,NA,NA,NA,NA,NA,NA
