"week","Product_code","Product_name","Price_kg","date","halfpigprice","quota","Order","Part","CP","Betagro","Thaifoods","BKK Remainder","กทม.","กลาง","ตะวันตก","ตะวันออก","Mid Remainder"
3,23057674,"สันนอกTT",185,"1/20/2022",124,69216,47246,"สันนอก","185",170,178,411.4,411.4,469,346.2,992,2218.6
4,23057674,"สันนอกTT",175,"1/27/2022",117,64473,44231,"สันนอก","175",170,168,349.32,349.32,641.38,650.42,489,2130.12
5,23057674,"สันนอกTT",164,"2/3/2022",106,63140,47986,"สันนอก","164",163,158,632.89,632.89,305.72,1612.55,134.5,2685.66
6,23057674,"สันนอกTT",152,"2/10/2022",100,42342,54789,"สันนอก","152",153,140,323.76,323.76,716.88,819.51,460.7,2320.85
7,23057674,"สันนอกTT",137,"2/17/2022",91,41207,65029,"สันนอก","140",135,132,91.15,91.15,492.19,1335.84,220.64,2139.82
8,23057674,"สันนอกTT",125,"2/22/2022",90,45802,74835,"สันนอก","125",130,132,374.9,374.9,267.09,936.12,214.91,1793.02
9,23057674,"สันนอกTT",125,"3/1/2022",90,44501,86041,"สันนอก","125",130,134,578.38,578.38,152.75,713.99,122.29,1567.41
10,23057674,"สันนอกTT",129,"3/10/2022",95,55942,104707,"สันนอก","129",135,134,642.81,642.81,85.64,838.41,494.6,2061.46
11,23057674,"สันนอกTT",130,"3/17/2022",97,64731,94267,"สันนอก","130",134,145,1010.26,1010.26,753.34,162.26,686.97,2612.83
12,23057674,"สันนอกTT",130,"3/24/2022",98,84104,97251,"สันนอก","130",134,145,231.81,231.81,113.83,856.1,979,2180.74
13,23057674,"สันนอกTT",138,"3/31/2022",99,83470,95167,"สันนอก","140",137,145,357.11,357.11,586.14,246,1952.15,3141.4
14,23057674,"สันนอกTT",144,"4/7/2022",104,87116,96060,"สันนอก","145",142,150,1137.53,1137.53,30.49,204.19,295.1,1667.31
15,23057674,"สันนอกTT",144,"4/14/2022",105,89783,75293,"สันนอก","157",145,153,468.63,468.63,150.83,704.5,613.34,1937.3
16,23057674,"สันนอกTT",156,"4/21/2022",109,73388,73397,"สันนอก","157",145,153,1147.28,1147.28,197.21,36.91,279.8,1661.2
17,23057674,"สันนอกTT",160,"4/28/2022",111,64512,75866,"สันนอก","161",149,157,876.39,876.39,126.92,496.64,1294.34,2794.29
18,23057674,"สันนอกTT",165,"5/5/2022",114,54495,63367,"สันนอก","165",152,161,96.69,96.69,1173.6,261.91,1670.39,3202.59
19,23057674,"สันนอกTT",175,"5/12/2022",120,57428,63577,"สันนอก","175",157,165,485.46,485.46,204.23,503.46,1933.28,3126.43
20,23057674,"สันนอกTT",177,"5/19/2022",123,58506,61009,"สันนอก","177",162,170,409.71,409.71,327.52,713.92,568.14,2019.29
21,23057674,"สันนอกTT",177,"5/26/2022",125,49983,62748,"สันนอก","177",167,174,290.17,290.17,760.96,1027.67,295.61,2374.41
22,23057674,"สันนอกTT",172,"2/6/2022",127,56024,63688,"สันนอก","172",170,174,NA,NA,NA,NA,NA,NA
23,NA,NA,NA,NA,NA,63544,35107,"สันนอก","169",171,174,NA,NA,NA,NA,NA,NA
