"week","Product_code","Product_name","Price_kg","date","halfpigprice","quota","Order","Part","CP","Betagro","Thaifoods","BKK Remainder","กทม.","กลาง","ตะวันตก","ตะวันออก","Mid Remainder","Average"
3,23057675,"สันในTT",203,"1/20/2022",124,7434,9601,"สันใน","203",160,177,59.58,59.58,11.41,920.07,275.5,1266.56,180.9371429
4,23057675,"สันในTT",190,"1/27/2022",117,6473,10054,"สันใน","190",160,167,8.7,8.7,41.11,518.89,255.9,824.6,117.8
5,23057675,"สันในTT",181,"2/3/2022",106,6504,8196,"สันใน","181",150,157,142.41,142.41,19.83,305.95,198.5,666.69,95.24142857
6,23057675,"สันในTT",166,"2/10/2022",100,6356,9927,"สันใน","166",142,145,71.42,71.42,217.8,277.61,166,732.83,104.69
7,23057675,"สันในTT",159,"2/17/2022",91,7915,11340,"สันใน","159",130,137,8.55,8.55,226.2,181.68,148.4,564.83,80.69
8,23057675,"สันในTT",145,"2/22/2022",90,8272,12776,"สันใน","145",130,137,41.11,41.11,34.42,577.82,199.43,852.78,121.8257143
9,23057675,"สันในTT",145,"3/1/2022",90,9036,13437,"สันใน","145",132,139,93.88,93.88,23.7,80.8,211.3,409.68,58.52571429
10,23057675,"สันในTT",145,"3/9/2022",95,9252,12286,"สันใน","145",135,142,68.72,68.72,14.45,272.92,242.5,598.59,85.51285714
11,23057675,"สันในTT",144,"3/17/2022",97,8354,14461,"สันใน","144",140,147,241.86,241.86,55.7,98.53,166.76,562.85,80.40714286
12,23057675,"สันในTT",144,"3/24/2022",98,10129,13350,"สันใน","144",140,147,113.27,113.27,17.17,149.73,220.3,500.47,71.49571429
13,23057675,"สันในTT",144,"3/31/2022",99,9808,13328,"สันใน","145",142,147,141.84,141.84,24.72,335.16,500.32,1002.04,143.1485714
14,23057675,"สันในTT",144,"4/2/2022",104,9818,14374,"สันใน","145",150,150,54.96,54.96,254.15,NA,122.4,431.51,61.64428571
15,23057675,"สันในTT",144,"4/14/2022",105,14753,15557,"สันใน","151",150,153,16.43,16.43,306.02,166.85,316.69,805.99,115.1414286
16,23057675,"สันในTT",150,"4/21/2022",109,9443,16334,"สันใน","151",150,153,28.79,28.79,98.12,161.93,226.97,515.81,73.68714286
17,23057675,"สันในTT",155,"4/28/2022",111,7862,17579,"สันใน","157",154,157,NA,NA,134.49,266.04,183.2,583.73,83.39
18,23057675,"สันในTT",162,"5/5/2022",114,9985,16346,"สันใน","162",154,161,41.15,41.15,56.45,196.26,402.09,695.95,99.42142857
19,23057675,"สันในTT",175,"5/12/2022",120,9765,16311,"สันใน","175",162,165,18.22,18.22,32.5,446.29,610.6,1107.61,158.23
20,23057675,"สันในTT",182,"5/19/2022",123,9790,13169,"สันใน","182",165,169,53.67,53.67,17.55,268.13,491.6,830.95,118.7071429
21,23057675,"สันในTT",183,"5/26/2022",125,9582,13939,"สันใน","183",174,171,51.98,51.98,176.4,207.3,357.9,793.58,113.3685714
22,23057675,"สันในTT",184,"2/6/2022",127,8094,13474,"สันใน","185",174,171,NA,NA,NA,NA,NA,NA,NA
23,NA,NA,NA,NA,NA,9251,6642,"สันใน","185",176,171,NA,NA,NA,NA,NA,NA,NA
