"week","Product_code","Product_name","Price_kg","date","halfpigprice","quota","Order","Part","CP","Betagro","Thaifoods","BKK Remainder","กทม.","กลาง","ตะวันตก","ตะวันออก","Mid Remainder","halfpigprice_m","halfpigprice_sd","Mid_Remainder_m","Mid_Remainder_sd","Betagro_m","Betagro_sd","quota_m","quota_sd","halfpigprice_s","Mid_Remainder_s","Betagro_s","quota_s","CP_m","CP_sd","CP_s"
3,23057673,"สะโพกTT",180,"1/20/2022",124,135103,117195,"เนื้อสะโพก",180,160,168,787.32,787.32,391.08,167,140.2,1485.6,106.21052631578948,11.740617754750296,2248.7721052631578,912.1118502840839,144.47368421052633,12.799168467142403,129683.05263157895,15255.475641638695,1.5152076369246272,-0.8367089025599902,1.2130722264756737,0.3552788189460122,151,16.73320053068151,1.7330814835348707
4,23057673,"สะโพกTT",170,"1/27/2022",117,118484,123925,"เนื้อสะโพก",170,160,158,411.93,411.93,513.92,2711.98,288,3925.83,106.21052631578948,11.740617754750296,2248.7721052631578,912.1118502840839,144.47368421052633,12.799168467142403,129683.05263157895,15255.475641638695,0.9189868803832797,1.838653772796078,1.2130722264756737,-0.7341005219799217,151,16.73320053068151,1.135467178867674
5,23057673,"สะโพกTT",158,"2/3/2022",106,137755,109026,"เนื้อสะโพก",158,153,148,610.49,610.49,617.25,1562.56,1574.4,4364.7,106.21052631578948,11.740617754750296,2248.7721052631578,912.1118502840839,144.47368421052633,12.799168467142403,129683.05263157895,15255.475641638695,-0.01793145132455232,2.3198118674566293,0.6661616972510475,0.5291180398459205,151,16.73320053068151,0.4183300132670378
6,23057673,"สะโพกTT",147,"2/10/2022",100,118814,104241,"เนื้อสะโพก",147,145,130,334.05,334.05,760.64,186.04,306.37,1587.1,106.21052631578948,11.740617754750296,2248.7721052631578,912.1118502840839,144.47368421052633,12.799168467142403,129683.05263157895,15255.475641638695,-0.5289778140742789,-0.7254286906338024,0.041121092422903176,-0.7124689447186209,151,16.73320053068151,-0.23904572186687872
7,23057673,"สะโพกTT",132,"2/17/2022",91,108182,134824,"เนื้อสะโพก",135,132,122,63.99,63.99,141.63,2136.85,874.8,3217.27,106.21052631578948,11.740617754750296,2248.7721052631578,912.1118502840839,144.47368421052633,12.799168467142403,129683.05263157895,15255.475641638695,-1.2955473581988688,1.061819221442191,-0.9745698904228313,-1.409399033937258,151,16.73320053068151,-0.9561828874675149
8,23057673,"สะโพกTT",125,"2/22/2022",90,110984,160681,"เนื้อสะโพก",125,122,122,695.47,695.47,267.05,1078.47,903.05,2944.04,106.21052631578948,11.740617754750296,2248.7721052631578,912.1118502840839,144.47368421052633,12.799168467142403,129683.05263157895,15255.475641638695,-1.3807217519904897,0.7622616617910358,-1.7558706464580116,-1.2257272779185764,151,16.73320053068151,-1.5537971921347118
9,23057673,"สะโพกTT",125,"3/1/2022",90,106488,167951,"เนื้อสะโพก",125,125,124,562.16,562.16,246.88,1084.84,199.05,2092.93,106.21052631578948,11.740617754750296,2248.7721052631578,912.1118502840839,144.47368421052633,12.799168467142403,129683.05263157895,15255.475641638695,-1.3807217519904897,-0.1708585468049996,-1.5214804196474576,-1.5204411305452687,151,16.73320053068151,-1.5537971921347118
10,23057673,"สะโพกTT",133,"3/9/2022",95,143833,187087,"เนื้อสะโพก",133,130,132,290.95,290.95,38.94,1304.22,198.2,1832.31,106.21052631578948,11.740617754750296,2248.7721052631578,912.1118502840839,144.47368421052633,12.799168467142403,129683.05263157895,15255.475641638695,-0.9548497830323843,-0.4565910476148815,-1.1308300416298673,0.9275323628586064,151,16.73320053068151,-1.0757057484009542
11,23057673,"สะโพกTT",137,"3/17/2022",97,140973,158278,"เนื้อสะโพก",138,135,135,383.52,383.52,1226.89,182.82,62.24,1855.47,106.21052631578948,11.740617754750296,2248.7721052631578,912.1118502840839,144.47368421052633,12.799168467142403,129683.05263157895,15255.475641638695,-0.7845009954491421,-0.43119942487389123,-0.7401796636122772,0.740058693260666,151,16.73320053068151,-0.7768985960673559
12,23057673,"สะโพกTT",137,"3/24/2022",98,149407,163761,"เนื้อสะโพก",138,135,135,276.08,276.08,114.1,1992.95,931.42,3314.55,106.21052631578948,11.740617754750296,2248.7721052631578,912.1118502840839,144.47368421052633,12.799168467142403,129683.05263157895,15255.475641638695,-0.699326601657521,1.168472807808492,-0.7401796636122772,1.2929093678722146,151,16.73320053068151,-0.7768985960673559
