บริษัท ซีพีเอฟ เทรดดิ้ง จำกัด
"rProduct_code","rProduct_listName","rClass_Price","rClass_Price_GDDesc","rUnit_code","rUnit_listName","sEffective_date_p","rGross_price","rProd_dis1","rProd_dis2","rProd_dis3","rPromotion_flag","sReversal_date","rPromotion_dis","rBonus_discount","rBonus_flag","rNet_price_dis","rFree_stock","rFree_stock_unit","rFor_order","rNet_price_free","rMin_order","rMax_order","rPacking_size","rPackaging_descript","rCurrency"
"000000000023000127","เนื้อไหล่ติดหนัง","CTW2W1","","006","ก.ก.","19/05/2565","162.00000000","","","","","","","","B","162.00000000","","","","","1.00000000","99999.00000000","1.00000000","เนื้อไหล่ติดหนัง",""
"000000000023000130","สะโพกติดหนัง","CTW2W1","","006","ก.ก.","19/05/2565","159.00000000","","","","","","","","B","159.00000000","","","","","1.00000000","99999.00000000","1.00000000","สะโพกติดหนัง",""
"000000000023000156","หมูซีก(ตาย)","CTW2W1","","006","ก.ก.","24/05/2565","65.00000000","","","","","","","","B","65.00000000","","","","","1.00000000","99999.00000000","1.00000000","หมูซีก(ตาย)",""
"000000000023000156","หมูซีก(ตาย)","CTW2W1","","016","ตัว","24/05/2565","6825.00000000","","","","","","","","B","6825.00000000","","","","","1.00000000","99999.00000000","1.00000000","หมูซีก(ตาย)",""
"000000000023000158","ชิ้นเนื้อหมูดี","CTW2W1","","006","ก.ก.","26/05/2565","154.00000000","","","","","","","","B","154.00000000","","","","","1.00000000","99999.00000000","1.00000000","ชิ้นเนื้อหมูดี",""
"000000000023000159","เศษเนื้อติดมัน","CTW2W1","","006","ก.ก.","23/05/2565","132.00000000","","","","","","","","B","132.00000000","","","","","1.00000000","99999.00000000","1.00000000","เศษเนื้อติดมัน",""
"000000000023000160","หางหมูสด","CTW2W1","","006","ก.ก.","07/04/2565","53.00000000","","","","","","","","B","53.00000000","","","","","1.00000000","99999.00000000","1.00000000","",""
"000000000023000165","คากิ (ข้อสอง)","CTW2W1","","006","ก.ก.","12/05/2565","47.00000000","","","","","","","","B","47.00000000","","","","","1.00000000","99999.00000000","1.00000000","1 ก.ก./ซอง",""
"000000000023000167","กระดูกขาเลาะ","CTW2W1","","006","ก.ก.","01/03/2565","3.00000000","","","","","","","","B","3.00000000","","","","","1.00000000","99999.00000000","1.00000000","กระดูกขาเลาะ",""
"000000000023000168","เนื้อขาเลาะ","CTW2W1","","006","ก.ก.","26/05/2565","149.00000000","","","","","","","","B","149.00000000","","","","","1.00000000","99999.00000000","1.00000000","",""
"000000000023000169","คอหมู(ย่าง)","CTW2W1","","006","ก.ก.","26/05/2565","275.00000000","","","","","","","","B","275.00000000","","","","","1.00000000","99999.00000000","1.00000000","5กก./ถุง",""
"000000000023000172","ลิ้นหมู","CTW2W1","","006","ก.ก.","12/05/2565","139.00000000","","","","","","","","B","139.00000000","","","","","1.00000000","99999.00000000","1.00000000","ลิ้นหมู",""
"000000000023000175","หน้ากากหมู","CTW2W1","","006","ก.ก.","12/05/2565","94.00000000","","","","","","","","B","94.00000000","","","","","1.00000000","99999.00000000","1.00000000","หน้ากากหมู",""
