บริษัท ซีพีเอฟ เทรดดิ้ง จำกัด
"rProduct_code","rProduct_listName","rClass_Price","rClass_Price_GDDesc","rUnit_code","rUnit_listName","sEffective_date_p","rGross_price","rProd_dis1","rProd_dis2","rProd_dis3","rPromotion_flag","sReversal_date","rPromotion_dis","rBonus_discount","rBonus_flag","rNet_price_dis","rFree_stock","rFree_stock_unit","rFor_order","rNet_price_free","rMin_order","rMax_order","rPacking_size","rPackaging_descript","rCurrency"
"000000000023000125","เนื้อไหล่","EST8W1","","006","ก.ก.","19/05/2565","165.00000000","","","","","","","","B","165.00000000","","","","","1.00000000","99999.00000000","1.00000000","10กก./ถุง",""
"000000000023000126","เนื้อไหล่แต่ง","EST8W1","","006","ก.ก.","23/12/2564","139.00000000","","","","","","","","B","139.00000000","","","","","0.00000000","999999.00000000","1.00000000","เนื้อไหล่แต่ง",""
"000000000023000127","เนื้อไหล่ติดหนัง","EST8W1","","006","ก.ก.","19/05/2565","174.00000000","","","","","","","","B","174.00000000","","","","","1.00000000","99999.00000000","1.00000000","เนื้อไหล่ติดหนัง",""
"000000000023000130","สะโพกติดหนัง","EST8W1","","006","ก.ก.","19/05/2565","158.00000000","","","","","","","","B","158.00000000","","","","","1.00000000","99999.00000000","1.00000000","สะโพกติดหนัง",""
"000000000023000134","สันนอก","EST8W1","","006","ก.ก.","14/05/2565","185.00000000","","","","","","","","B","185.00000000","","","","","1.00000000","99999.00000000","1.00000000","5กก/ถุง ",""
"000000000023000141","สันใน","EST8W1","","006","ก.ก.","26/05/2565","179.00000000","","","","","","","","B","179.00000000","","","","","1.00000000","99999.00000000","1.00000000","10กก/ถุง",""
"000000000023000142","สันในแต่ง","EST8W1","","006","ก.ก.","23/12/2564","160.00000000","","","","","","","","B","160.00000000","","","","","0.00000000","999999.00000000","1.00000000","สันในแต่ง",""
"000000000023000143","สันคอ","EST8W1","","006","ก.ก.","19/05/2565","225.00000000","","","","","","","","B","225.00000000","","","","","1.00000000","99999.00000000","1.00000000","10กก/ถุง",""
"000000000023000148","หมูสามชั้น","EST8W1","","006","ก.ก.","19/05/2565","195.00000000","","","","","","","","B","195.00000000","","","","","1.00000000","99999.00000000","1.00000000","10กก/ถุง.",""
"000000000023000150","ซี่โครงแผ่น","EST8W1","","006","ก.ก.","19/05/2565","164.00000000","","","","","","","","B","164.00000000","","","","","1.00000000","99999.00000000","1.00000000","6 กก./ถุง",""
"000000000023000151","ซี่โครงอ่อน","EST8W1","","006","ก.ก.","19/05/2565","201.00000000","","","","","","","","B","201.00000000","","","","","1.00000000","99999.00000000","1.00000000","ซี่โครงอ่อน",""
"000000000023000156","หมูซีก(ตาย)","EST8W1","","006","ก.ก.","24/05/2565","67.00000000","","","","","","","","B","67.00000000","","","","","1.00000000","99999.00000000","1.00000000","หมูซีก(ตาย)",""
"000000000023000156","หมูซีก(ตาย)","EST8W1","","016","ตัว","24/05/2565","7035.00000000","","","","","","","","B","7035.00000000","","","","","1.00000000","99999.00000000","1.00000000","หมูซีก(ตาย)",""
"000000000023000158","ชิ้นเนื้อหมูดี","EST8W1","","006","ก.ก.","26/05/2565","152.00000000","","","","","","","","B","152.00000000","","","","","1.00000000","99999.00000000","1.00000000","ชิ้นเนื้อหมูดี",""
"000000000023000159","เศษเนื้อติดมัน","EST8W1","","006","ก.ก.","23/05/2565","135.00000000","","","","","","","","B","135.00000000","","","","","1.00000000","99999.00000000","1.00000000","เศษเนื้อติดมัน",""
"000000000023000160","หางหมูสด","EST8W1","","006","ก.ก.","09/05/2565","62.00000000","","","","","","","","B","62.00000000","","","","","1.00000000","99999.00000000","1.00000000","",""
"000000000023000165","คากิ (ข้อสอง)","EST8W1","","006","ก.ก.","09/05/2565","82.00000000","","","","","","","","B","82.00000000","","","","","1.00000000","99999.00000000","1.00000000","1 ก.ก./ซอง",""
"000000000023000167","กระดูกขาเลาะ","EST8W1","","006","ก.ก.","19/05/2565","1.00000000","","","","","","","","B","1.00000000","","","","","1.00000000","99999.00000000","1.00000000","กระดูกขาเลาะ",""
"000000000023000169","คอหมู(ย่าง)","EST8W1","","006","ก.ก.","26/05/2565","274.00000000","","","","","","","","B","274.00000000","","","","","1.00000000","99999.00000000","1.00000000","5กก./ถุง",""
"000000000023000171","หัวเต็ม","EST8W1","","006","ก.ก.","23/12/2564","52.00000000","","","","","","","","B","52.00000000","","","","","0.00000000","999999.00000000","1.00000000","",""
"000000000023000172","ลิ้นหมู","EST8W1","","006","ก.ก.","19/05/2565","139.00000000","","","","","","","","B","139.00000000","","","","","1.00000000","99999.00000000","1.00000000","ลิ้นหมู",""
"000000000023000175","หน้ากากหมู","EST8W1","","006","ก.ก.","19/05/2565","99.00000000","","","","","","","","B","99.00000000","","","","","1.00000000","99999.00000000","1.00000000","หน้ากากหมู",""
"000000000023000176","กระโหลกหมู","EST8W1","","006","ก.ก.","19/05/2565","1.00000000","","","","","","","","B","1.00000000","","","","","1.00000000","99999.00000000","1.00000000","1 กิโลกรัม",""
"000000000023000181","ไส้ขม","EST8W1","","006","ก.ก.","26/05/2565","68.00000000","","","","","","","","B","68.00000000","","","","","1.00000000","99999.00000000","1.00000000","",""
"000000000023000186","ขั้วตับหมู","EST8W1","","006","ก.ก.","26/05/2565","168.00000000","","","","","","","","B","168.00000000","","","","","1.00000000","99999.00000000","1.00000000","4กก./ถุง",""
"000000000023000187","ปอด","EST8W1","","006","ก.ก.","25/05/2565","13.00000000","","","","","","","","B","13.00000000","","","","","1.00000000","99999.00000000","1.00000000","",""
"000000000023000188","ตับหมู","EST8W1","","006","ก.ก.","26/05/2565","128.00000000","","","","","","","","B","128.00000000","","","","","1.00000000","99999.00000000","1.00000000","",""
