บริษัท ซีพีเอฟ เทรดดิ้ง จำกัด
"rProduct_code","rProduct_listName","rClass_Price","rClass_Price_GDDesc","rUnit_code","rUnit_listName","sEffective_date_p","rGross_price","rProd_dis1","rProd_dis2","rProd_dis3","rPromotion_flag","sReversal_date","rPromotion_dis","rBonus_discount","rBonus_flag","rNet_price_dis","rFree_stock","rFree_stock_unit","rFor_order","rNet_price_free","rMin_order","rMax_order","rPacking_size","rPackaging_descript","rCurrency"
"000000000023000126","เนื้อไหล่แต่ง","LNE2W1","","006","ก.ก.","26/05/2565","168.00000000","","","","","","","","B","168.00000000","","","","","1.00000000","99999.00000000","1.00000000","เนื้อไหล่แต่ง",""
"000000000023000130","สะโพกติดหนัง","LNE2W1","","006","ก.ก.","26/05/2565","160.00000000","","","","","","","","B","160.00000000","","","","","1.00000000","99999.00000000","1.00000000","สะโพกติดหนัง",""
"000000000023000167","กระดูกขาเลาะ","LNE2W1","","006","ก.ก.","26/05/2565","10.00000000","","","","","","","","B","10.00000000","","","","","1.00000000","99999.00000000","1.00000000","กระดูกขาเลาะ",""
"000000000023000168","เนื้อขาเลาะ","LNE2W1","","006","ก.ก.","26/05/2565","153.00000000","","","","","","","","B","153.00000000","","","","","1.00000000","99999.00000000","1.00000000","",""
"000000000023000171","หัวเต็ม","LNE2W1","","006","ก.ก.","26/05/2565","94.00000000","","","","","","","","B","94.00000000","","","","","1.00000000","99999.00000000","1.00000000","",""
"000000000023000172","ลิ้นหมู","LNE2W1","","006","ก.ก.","26/05/2565","159.00000000","","","","","","","","B","159.00000000","","","","","1.00000000","99999.00000000","1.00000000","ลิ้นหมู",""
"000000000023000175","หน้ากากหมู","LNE2W1","","006","ก.ก.","26/05/2565","90.00000000","","","","","","","","B","90.00000000","","","","","1.00000000","99999.00000000","1.00000000","หน้ากากหมู",""
"000000000023000176","กระโหลกหมู","LNE2W1","","006","ก.ก.","26/05/2565","11.00000000","","","","","","","","B","11.00000000","","","","","1.00000000","99999.00000000","1.00000000","1 กิโลกรัม",""
"000000000023000181","ไส้ขม","LNE2W1","","006","ก.ก.","26/05/2565","61.00000000","","","","","","","","B","61.00000000","","","","","1.00000000","99999.00000000","1.00000000","",""
"000000000023000186","ขั้วตับหมู","LNE2W1","","006","ก.ก.","26/05/2565","152.00000000","","","","","","","","B","152.00000000","","","","","1.00000000","99999.00000000","1.00000000","4กก./ถุง",""
"000000000023000187","ปอด","LNE2W1","","006","ก.ก.","26/05/2565","24.00000000","","","","","","","","B","24.00000000","","","","","1.00000000","99999.00000000","1.00000000","",""
"000000000023000188","ตับหมู","LNE2W1","","006","ก.ก.","26/05/2565","117.00000000","","","","","","","","B","117.00000000","","","","","1.00000000","99999.00000000","1.00000000","",""
"000000000023000189","กระเพาะ","LNE2W1","","006","ก.ก.","26/05/2565","97.00000000","","","","","","","","B","97.00000000","","","","","1.00000000","99999.00000000","1.00000000","",""
"000000000023000190","หัวใจหมู","LNE2W1","","006","ก.ก.","26/05/2565","76.00000000","","","","","","","","B","76.00000000","","","","","1.00000000","99999.00000000","1.00000000","",""
"000000000023000191","ไส้อ่อน","LNE2W1","","006","ก.ก.","26/05/2565","148.00000000","","","","","","","","B","148.00000000","","","","","1.00000000","99999.00000000","1.00000000","2 Kg./แพ็ค",""
"000000000023000192","ไส้ใหญ่(ลวก)","LNE2W1","","006","ก.ก.","26/05/2565","47.00000000","","","","","","","","B","47.00000000","","","","","1.00000000","99999.00000000","1.00000000","",""
"000000000023000193","ม้าม","LNE2W1","","006","ก.ก.","26/05/2565","45.00000000","","","","","","","","B","45.00000000","","","","","1.00000000","99999.00000000","1.00000000","",""
"000000000023000194","ไตหมู","LNE2W1","","006","ก.ก.","26/05/2565","97.00000000","","","","","","","","B","97.00000000","","","","","1.00000000","99999.00000000","1.00000000","",""
"000000000023000197","เครื่องในชุด(หมู)","LNE2W1","","006","ก.ก.","26/05/2565","77.00000000","","","","","","","","B","77.00000000","","","","","1.00000000","99999.00000000","1.00000000","ชั่งตามจริง",""
"000000000023000203","ชิ้นมันแข็ง","LNE2W1","","006","ก.ก.","26/05/2565","68.00000000","","","","","","","","B","68.00000000","","","","","1.00000000","99999.00000000","1.00000000","ชิ้นมันแข็ง",""
"000000000023000206","ชิ้นมันคอ","LNE2W1","","006","ก.ก.","26/05/2565","80.00000000","","","","","","","","B","80.00000000","","","","","1.00000000","99999.00000000","1.00000000","1 แพ็ค / ก.ก.",""
"000000000023000221","เศษเนื้อและเศษมัน (1)","LNE2W1","","006","ก.ก.","26/05/2565","4.00000000","","","","","","","","B","4.00000000","","","","","1.00000000","99999.00000000","1.00000000","",""
"000000000023000223","เศษเนื้อและเศษมัน (3)","LNE2W1","","006","ก.ก.","26/05/2565","43.00000000","","","","","","","","B","43.00000000","","","","","1.00000000","99999.00000000","1.00000000","เศษเนื้อและเศษมัน (3)",""
"000000000023000730","ไก่สด(ไก่กลม)10 KG","LNE2W1","","006","ก.ก.","23/05/2565","59.25000000","","","","","","","","B","59.25000000","","","","","1.00000000","99999.00000000","1.00000000","ก.ก. / 1 ก.ก.",""
"000000000023000730","ไก่สด(ไก่กลม)10 KG","LNE2W1","","010","แพ็ค","23/05/2565","592.50000000","","","","","","","","B","592.50000000","","","","","1.00000000","99999.00000000","1.00000000","ก.ก. / 1 ก.ก.",""
"000000000023000815","BB 5 KG","LNE2W1","","010","แพ็ค","21/04/2565","416.25000000","","","","","","","","B","416.25000000","","","","","1.00000000","99999.00000000","1.00000000","1 แพ็ค = 5 กิโลกรัม",""
"000000000023000815","BB 5 KG","LNE2W1","","006","ก.ก.","21/04/2565","83.25000000","","","","","","","","B","83.25000000","","","","","1.00000000","99999.00000000","1.00000000","1 แพ็ค = 5 กิโลกรัม",""
"000000000023000817","BB#2 5 KG","LNE2W1","","010","แพ็ค","21/04/2565","362.50000000","","","","","","","","B","362.50000000","","","","","1.00000000","99999.00000000","1.00000000","แพ็ค / 5 ก.ก.",""
"000000000023000817","BB#2 5 KG","LNE2W1","","006","ก.ก.","21/04/2565","72.50000000","","","","","","","","B","72.50000000","","","","","1.00000000","99999.00000000","1.00000000","แพ็ค / 5 ก.ก.",""
"000000000023000820","เนื้ออกล้วน 2 KG","LNE2W1","","006","ก.ก.","21/04/2565","86.25000000","","","","","","","","B","86.25000000","","","","","1.00000000","99999.00000000","1.00000000","2ก.ก/แพ็ค",""
"000000000023000820","เนื้ออกล้วน 2 KG","LNE2W1","","010","แพ็ค","21/04/2565","172.50000000","","","","","","","","B","172.50000000","","","","","1.00000000","99999.00000000","1.00000000","2ก.ก/แพ็ค",""
"000000000023000859","เศษSBBปนมัน 5 KG","LNE2W1","","006","ก.ก.","28/04/2565","75.75000000","","","","","","","","B","75.75000000","","","","","1.00000000","99999.00000000","1.00000000","",""
"000000000023000859","เศษSBBปนมัน 5 KG","LNE2W1","","010","แพ็ค","28/04/2565","378.75000000","","","","","","","","B","378.75000000","","","","","1.00000000","99999.00000000","1.00000000","",""
"000000000023000860","เศษSBB#3 5 KG","LNE2W1","","010","แพ็ค","28/04/2565","342.50000000","","","","","","","","B","342.50000000","","","","","1.00000000","99999.00000000","1.00000000","1 แพ็ค = 5 กิโลกรัม",""
"000000000023000860","เศษSBB#3 5 KG","LNE2W1","","006","ก.ก.","28/04/2565","68.50000000","","","","","","","","B","68.50000000","","","","","1.00000000","99999.00000000","1.00000000","1 แพ็ค = 5 กิโลกรัม",""
"000000000023000863","เศษBBปนหนัง  5 KG","LNE2W1","","006","ก.ก.","28/04/2565","72.50000000","","","","","","","","B","72.50000000","","","","","1.00000000","99999.00000000","1.00000000","แพ็ค / 5 ก.ก.",""
