บริษัท ซีพีเอฟ เทรดดิ้ง จำกัด
"rProduct_code","rProduct_listName","rClass_Price","rClass_Price_GDDesc","rUnit_code","rUnit_listName","sEffective_date_p","rGross_price","rProd_dis1","rProd_dis2","rProd_dis3","rPromotion_flag","sReversal_date","rPromotion_dis","rBonus_discount","rBonus_flag","rNet_price_dis","rFree_stock","rFree_stock_unit","rFor_order","rNet_price_free","rMin_order","rMax_order","rPacking_size","rPackaging_descript","rCurrency"
"000000000023000127","เนื้อไหล่ติดหนัง","SOT6W1","","006","ก.ก.","26/05/2565","158.00000000","","","","","","","","B","158.00000000","","","","","1.00000000","99999.00000000","1.00000000","เนื้อไหล่ติดหนัง",""
"000000000023000130","สะโพกติดหนัง","SOT6W1","","006","ก.ก.","26/05/2565","162.00000000","","","","","","","","B","162.00000000","","","","","1.00000000","99999.00000000","1.00000000","สะโพกติดหนัง",""
"000000000023000140","สันนอกติดหนัง","SOT6W1","","006","ก.ก.","26/05/2565","171.00000000","","","","","","","","B","171.00000000","","","","","1.00000000","99999.00000000","1.00000000","",""
"000000000023000151","ซี่โครงอ่อน","SOT6W1","","006","ก.ก.","26/05/2565","181.00000000","","","","","","","","B","181.00000000","","","","","1.00000000","99999.00000000","1.00000000","ซี่โครงอ่อน",""
"000000000023000158","ชิ้นเนื้อหมูดี","SOT6W1","","006","ก.ก.","26/05/2565","155.00000000","","","","","","","","B","155.00000000","","","","","1.00000000","99999.00000000","1.00000000","ชิ้นเนื้อหมูดี",""
"000000000023000167","กระดูกขาเลาะ","SOT6W1","","006","ก.ก.","26/05/2565","1.00000000","","","","","","","","B","1.00000000","","","","","1.00000000","99999.00000000","1.00000000","กระดูกขาเลาะ",""
"000000000023000171","หัวเต็ม","SOT6W1","","006","ก.ก.","26/05/2565","78.00000000","","","","","","","","B","78.00000000","","","","","1.00000000","99999.00000000","1.00000000","",""
"000000000023000172","ลิ้นหมู","SOT6W1","","006","ก.ก.","26/05/2565","98.00000000","","","","","","","","B","98.00000000","","","","","1.00000000","99999.00000000","1.00000000","ลิ้นหมู",""
"000000000023000175","หน้ากากหมู","SOT6W1","","006","ก.ก.","26/05/2565","84.00000000","","","","","","","","B","84.00000000","","","","","1.00000000","99999.00000000","1.00000000","หน้ากากหมู",""
"000000000023000176","กระโหลกหมู","SOT6W1","","006","ก.ก.","26/05/2565","4.00000000","","","","","","","","B","4.00000000","","","","","1.00000000","99999.00000000","1.00000000","1 กิโลกรัม",""
