บริษัท ซีพีเอฟ เทรดดิ้ง จำกัด
"rProduct_code","rProduct_listName","rClass_Price","rClass_Price_GDDesc","rUnit_code","rUnit_listName","sEffective_date_p","rGross_price","rProd_dis1","rProd_dis2","rProd_dis3","rPromotion_flag","sReversal_date","rPromotion_dis","rBonus_discount","rBonus_flag","rNet_price_dis","rFree_stock","rFree_stock_unit","rFor_order","rNet_price_free","rMin_order","rMax_order","rPacking_size","rPackaging_descript","rCurrency"
"000000000011011588","วิปปิ้งครีมพาส กล่อง 946 มล","UNO8W1","","005","กล่อง","20/12/2564","175.00000000","","","","","","","","B","175.00000000","","","","","1.00000000","99999.00000000","1.00000000",".946 ลิตร/กล่อง",""
"000000000023000130","สะโพกติดหนัง","UNO8W1","","006","ก.ก.","18/05/2565","147.00000000","","","","","","","","B","147.00000000","","","","","1.00000000","99999.00000000","1.00000000","สะโพกติดหนัง",""
"000000000023000165","คากิ (ข้อสอง)","UNO8W1","","006","ก.ก.","18/05/2565","60.00000000","","","","","","","","B","60.00000000","","","","","1.00000000","99999.00000000","1.00000000","1 ก.ก./ซอง",""
"000000000023000167","กระดูกขาเลาะ","UNO8W1","","006","ก.ก.","18/05/2565","2.00000000","","","","","","","","B","2.00000000","","","","","1.00000000","99999.00000000","1.00000000","กระดูกขาเลาะ",""
"000000000023000171","หัวเต็ม","UNO8W1","","006","ก.ก.","18/05/2565","76.00000000","","","","","","","","B","76.00000000","","","","","1.00000000","99999.00000000","1.00000000","",""
"000000000023000172","ลิ้นหมู","UNO8W1","","006","ก.ก.","18/05/2565","139.00000000","","","","","","","","B","139.00000000","","","","","1.00000000","99999.00000000","1.00000000","ลิ้นหมู",""
"000000000023000175","หน้ากากหมู","UNO8W1","","006","ก.ก.","22/05/2565","90.00000000","","","","","","","","B","90.00000000","","","","","1.00000000","99999.00000000","1.00000000","หน้ากากหมู",""
"000000000023000176","กระโหลกหมู","UNO8W1","","006","ก.ก.","18/05/2565","21.00000000","","","","","","","","B","21.00000000","","","","","1.00000000","99999.00000000","1.00000000","1 กิโลกรัม",""
"000000000023000181","ไส้ขม","UNO8W1","","006","ก.ก.","18/05/2565","71.00000000","","","","","","","","B","71.00000000","","","","","1.00000000","99999.00000000","1.00000000","",""
"000000000023000186","ขั้วตับหมู","UNO8W1","","006","ก.ก.","18/05/2565","170.00000000","","","","","","","","B","170.00000000","","","","","1.00000000","99999.00000000","1.00000000","4กก./ถุง",""
"000000000023000187","ปอด","UNO8W1","","006","ก.ก.","18/05/2565","21.00000000","","","","","","","","B","21.00000000","","","","","1.00000000","99999.00000000","1.00000000","",""
"000000000023000188","ตับหมู","UNO8W1","","006","ก.ก.","18/05/2565","128.00000000","","","","","","","","B","128.00000000","","","","","1.00000000","99999.00000000","1.00000000","",""
"000000000023000189","กระเพาะ","UNO8W1","","006","ก.ก.","18/05/2565","90.00000000","","","","","","","","B","90.00000000","","","","","1.00000000","99999.00000000","1.00000000","",""
"000000000023000190","หัวใจหมู","UNO8W1","","006","ก.ก.","18/05/2565","75.00000000","","","","","","","","B","75.00000000","","","","","1.00000000","99999.00000000","1.00000000","",""
"000000000023000191","ไส้อ่อน","UNO8W1","","006","ก.ก.","18/05/2565","190.00000000","","","","","","","","B","190.00000000","","","","","1.00000000","99999.00000000","1.00000000","2 Kg./แพ็ค",""
"000000000023000193","ม้าม","UNO8W1","","006","ก.ก.","18/05/2565","75.00000000","","","","","","","","B","75.00000000","","","","","1.00000000","99999.00000000","1.00000000","",""
"000000000023000194","ไตหมู","UNO8W1","","006","ก.ก.","18/05/2565","100.00000000","","","","","","","","B","100.00000000","","","","","1.00000000","99999.00000000","1.00000000","",""
"000000000023000197","เครื่องในชุด(หมู)","UNO8W1","","006","ก.ก.","22/05/2565","84.00000000","","","","","","","","B","84.00000000","","","","","1.00000000","99999.00000000","1.00000000","ชั่งตามจริง",""
"000000000023000223","เศษเนื้อและเศษมัน (3)","UNO8W1","","006","ก.ก.","18/05/2565","3.00000000","","","","","","","","B","3.00000000","","","","","1.00000000","99999.00000000","1.00000000","เศษเนื้อและเศษมัน (3)",""
"000000000023000815","BB 5 KG","UNO8W1","","006","ก.ก.","15/05/2565","84.25000000","","","","","","","","B","84.25000000","","","","","1.00000000","99999.00000000","1.00000000","1 แพ็ค = 5 กิโลกรัม",""
"000000000023000815","BB 5 KG","UNO8W1","","010","แพ็ค","15/05/2565","421.25000000","","","","","","","","B","421.25000000","","","","","1.00000000","99999.00000000","1.00000000","1 แพ็ค = 5 กิโลกรัม",""
"000000000023000889","เนื้ออกล้วน 2 KG(F)","UNO8W1","","006","ก.ก.","15/05/2565","90.50000000","","","","","","","","B","90.50000000","","","","","1.00000000","99999.00000000","1.00000000","2ก.ก./ซอง",""
"000000000023000889","เนื้ออกล้วน 2 KG(F)","UNO8W1","","005","กล่อง","15/05/2565","1086.00000000","","","","","","","","B","1086.00000000","","","","","1.00000000","99999.00000000","1.00000000","2ก.ก./ซอง",""
"000000000023000889","เนื้ออกล้วน 2 KG(F)","UNO8W1","","010","แพ็ค","15/05/2565","181.00000000","","","","","","","","B","181.00000000","","","","","1.00000000","99999.00000000","1.00000000","2ก.ก./ซอง",""
"000000000023001078","น่องติดสะโพกไก่ 5 KG","UNO8W1","","006","ก.ก.","15/05/2565","74.75000000","","","","","","","","B","74.75000000","","","","","1.00000000","99999.00000000","1.00000000","1 แพ็ค = 5 กิโลกรัม",""
"000000000023001078","น่องติดสะโพกไก่ 5 KG","UNO8W1","","010","แพ็ค","15/05/2565","373.75000000","","","","","","","","B","373.75000000","","","","","1.00000000","99999.00000000","1.00000000","1 แพ็ค = 5 กิโลกรัม",""
"000000000023001183","เศษBL#1 2 KG(F)","UNO8W1","","005","กล่อง","23/05/2565","1029.00000000","","","","","","","","B","1029.00000000","","","","","1.00000000","99999.00000000","1.00000000","2 ก.ก./ถุง",""
"000000000023001183","เศษBL#1 2 KG(F)","UNO8W1","","010","แพ็ค","23/05/2565","171.50000000","","","","","","","","B","171.50000000","","","","","1.00000000","99999.00000000","1.00000000","2 ก.ก./ถุง",""
"000000000023001183","เศษBL#1 2 KG(F)","UNO8W1","","006","ก.ก.","23/05/2565","85.75000000","","","","","","","","B","85.75000000","","","","","1.00000000","99999.00000000","1.00000000","2 ก.ก./ถุง",""
"000000000023001184","เศษ BL STD 5 KG(F)","UNO8W1","","005","กล่อง","23/05/2565","855.00000000","","","","","","","","B","855.00000000","","","","","1.00000000","99999.00000000","1.00000000","1 กล่อง = 2 แพ็ค",""
"000000000023001184","เศษ BL STD 5 KG(F)","UNO8W1","","006","ก.ก.","23/05/2565","85.50000000","","","","","","","","B","85.50000000","","","","","1.00000000","99999.00000000","1.00000000","1 กล่อง = 2 แพ็ค",""
"000000000023001184","เศษ BL STD 5 KG(F)","UNO8W1","","010","แพ็ค","23/05/2565","427.50000000","","","","","","","","B","427.50000000","","","","","1.00000000","99999.00000000","1.00000000","1 กล่อง = 2 แพ็ค",""
"000000000023001185","เศษBL#1 5 KG(F)","UNO8W1","","006","ก.ก.","23/05/2565","83.75000000","","","","","","","","B","83.75000000","","","","","1.00000000","99999.00000000","1.00000000","แพ็ค / 5 ก.ก.",""
"000000000023001185","เศษBL#1 5 KG(F)","UNO8W1","","005","กล่อง","23/05/2565","837.50000000","","","","","","","","B","837.50000000","","","","","1.00000000","99999.00000000","1.00000000","แพ็ค / 5 ก.ก.",""
"000000000023001185","เศษBL#1 5 KG(F)","UNO8W1","","010","แพ็ค","23/05/2565","418.75000000","","","","","","","","B","418.75000000","","","","","1.00000000","99999.00000000","1.00000000","แพ็ค / 5 ก.ก.",""
"000000000023001187","น่องติดสะโพก 2 KG. (F)","UNO8W1","","005","กล่อง","15/05/2565","939.00000000","","","","","","","","B","939.00000000","","","","","1.00000000","99999.00000000","1.00000000","2 ก.ก./1แพ็ค",""
"000000000023001187","น่องติดสะโพก 2 KG. (F)","UNO8W1","","006","ก.ก.","15/05/2565","78.25000000","","","","","","","","B","78.25000000","","","","","1.00000000","99999.00000000","1.00000000","2 ก.ก./1แพ็ค",""
"000000000023001187","น่องติดสะโพก 2 KG. (F)","UNO8W1","","010","แพ็ค","15/05/2565","156.50000000","","","","","","","","B","156.50000000","","","","","1.00000000","99999.00000000","1.00000000","2 ก.ก./1แพ็ค",""
"000000000023001191","น่อง 2 KG. (F)","UNO8W1","","010","แพ็ค","15/05/2565","162.50000000","","","","","","","","B","162.50000000","","","","","1.00000000","99999.00000000","1.00000000","2กก./1แพ็ค",""
"000000000023001191","น่อง 2 KG. (F)","UNO8W1","","006","ก.ก.","15/05/2565","81.25000000","","","","","","","","B","81.25000000","","","","","1.00000000","99999.00000000","1.00000000","2กก./1แพ็ค",""
"000000000023001191","น่อง 2 KG. (F)","UNO8W1","","005","กล่อง","15/05/2565","975.00000000","","","","","","","","B","975.00000000","","","","","1.00000000","99999.00000000","1.00000000","2กก./1แพ็ค",""
"000000000023001194","สะโพก 2 KG.  (F)","UNO8W1","","005","กล่อง","15/05/2565","942.00000000","","","","","","","","B","942.00000000","","","","","1.00000000","99999.00000000","1.00000000","2ก.ก./1แพ็ค",""
"000000000023001194","สะโพก 2 KG.  (F)","UNO8W1","","010","แพ็ค","15/05/2565","157.00000000","","","","","","","","B","157.00000000","","","","","1.00000000","99999.00000000","1.00000000","2ก.ก./1แพ็ค",""
"000000000023001194","สะโพก 2 KG.  (F)","UNO8W1","","006","ก.ก.","15/05/2565","78.50000000","","","","","","","","B","78.50000000","","","","","1.00000000","99999.00000000","1.00000000","2ก.ก./1แพ็ค",""
"000000000023001336","สันใน 2 KG.  (F)","UNO8W1","","010","แพ็ค","15/05/2565","194.50000000","","","","","","","","B","194.50000000","","","","","1.00000000","99999.00000000","1.00000000","2ก.ก./1แพ็ค",""
"000000000023001336","สันใน 2 KG.  (F)","UNO8W1","","005","กล่อง","15/05/2565","1167.00000000","","","","","","","","B","1167.00000000","","","","","1.00000000","99999.00000000","1.00000000","2ก.ก./1แพ็ค",""
"000000000023001336","สันใน 2 KG.  (F)","UNO8W1","","006","ก.ก.","15/05/2565","97.25000000","","","","","","","","B","97.25000000","","","","","1.00000000","99999.00000000","1.00000000","2ก.ก./1แพ็ค",""
"000000000023001486","ปีกเต็ม 2  KG. ( F)","UNO8W1","","005","กล่อง","15/05/2565","966.00000000","","","","","","","","B","966.00000000","","","","","1.00000000","99999.00000000","1.00000000","2กก./แพ็ค",""
"000000000023001486","ปีกเต็ม 2  KG. ( F)","UNO8W1","","006","ก.ก.","15/05/2565","80.50000000","","","","","","","","B","80.50000000","","","","","1.00000000","99999.00000000","1.00000000","2กก./แพ็ค",""
"000000000023001486","ปีกเต็ม 2  KG. ( F)","UNO8W1","","010","แพ็ค","15/05/2565","161.00000000","","","","","","","","B","161.00000000","","","","","1.00000000","99999.00000000","1.00000000","2กก./แพ็ค",""
"000000000023001499","ปีกปลาย 2 KG.  (F)","UNO8W1","","005","กล่อง","15/05/2565","960.00000000","","","","","","","","B","960.00000000","","","","","1.00000000","99999.00000000","1.00000000","2กก./แพ็ค",""
"000000000023001499","ปีกปลาย 2 KG.  (F)","UNO8W1","","010","แพ็ค","15/05/2565","160.00000000","","","","","","","","B","160.00000000","","","","","1.00000000","99999.00000000","1.00000000","2กก./แพ็ค",""
"000000000023001499","ปีกปลาย 2 KG.  (F)","UNO8W1","","006","ก.ก.","15/05/2565","80.00000000","","","","","","","","B","80.00000000","","","","","1.00000000","99999.00000000","1.00000000","2กก./แพ็ค",""
"000000000023001506","ปีกกลาง 2 KG.  (F)","UNO8W1","","006","ก.ก.","26/05/2565","135.25000000","","","","","","","","B","135.25000000","","","","","1.00000000","99999.00000000","1.00000000","2ก.ก./1แพ็ค",""
"000000000023001506","ปีกกลาง 2 KG.  (F)","UNO8W1","","010","แพ็ค","26/05/2565","270.50000000","","","","","","","","B","270.50000000","","","","","1.00000000","99999.00000000","1.00000000","2ก.ก./1แพ็ค",""
"000000000023001506","ปีกกลาง 2 KG.  (F)","UNO8W1","","005","กล่อง","26/05/2565","1623.00000000","","","","","","","","B","1623.00000000","","","","","1.00000000","99999.00000000","1.00000000","2ก.ก./1แพ็ค",""
"000000000023001515","ปลายปีก 2 KG(F)","UNO8W1","","005","กล่อง","22/05/2565","555.00000000","","","","","","","","B","555.00000000","","","","","1.00000000","99999.00000000","1.00000000","2 กก./ถุง",""
"000000000023001515","ปลายปีก 2 KG(F)","UNO8W1","","006","ก.ก.","22/05/2565","46.25000000","","","","","","","","B","46.25000000","","","","","1.00000000","99999.00000000","1.00000000","2 กก./ถุง",""
"000000000023001515","ปลายปีก 2 KG(F)","UNO8W1","","010","แพ็ค","22/05/2565","92.50000000","","","","","","","","B","92.50000000","","","","","1.00000000","99999.00000000","1.00000000","2 กก./ถุง",""
"000000000023001590","โครง10กิโลกรัม","UNO8W1","","010","แพ็ค","15/05/2565","300.00000000","","","","","","","","B","300.00000000","","","","","1.00000000","99999.00000000","1.00000000","10 ก.ก. / ถุง",""
"000000000023001590","โครง10กิโลกรัม","UNO8W1","","006","ก.ก.","15/05/2565","30.00000000","","","","","","","","B","30.00000000","","","","","1.00000000","99999.00000000","1.00000000","10 ก.ก. / ถุง",""
"000000000023001627","โครงไก่ 10 KG(F)","UNO8W1","","006","ก.ก.","15/05/2565","30.25000000","","","","","","","","B","30.25000000","","","","","1.00000000","99999.00000000","1.00000000","10 กก./ 1 ถุง",""
"000000000023001627","โครงไก่ 10 KG(F)","UNO8W1","","010","แพ็ค","15/05/2565","302.50000000","","","","","","","","B","302.50000000","","","","","1.00000000","99999.00000000","1.00000000","10 กก./ 1 ถุง",""
"000000000023001627","โครงไก่ 10 KG(F)","UNO8W1","","005","กล่อง","15/05/2565","302.50000000","","","","","","","","B","302.50000000","","","","","1.00000000","99999.00000000","1.00000000","10 กก./ 1 ถุง",""
"000000000023001646","โครงไก่บดไส้กรอก5 KG(F)","UNO8W1","","005","กล่อง","15/05/2565","390.00000000","","","","","","","","B","390.00000000","","","","","1.00000000","99999.00000000","1.00000000","5 ก.ก./แพ็ค",""
"000000000023001646","โครงไก่บดไส้กรอก5 KG(F)","UNO8W1","","010","แพ็ค","15/05/2565","195.00000000","","","","","","","","B","195.00000000","","","","","1.00000000","99999.00000000","1.00000000","5 ก.ก./แพ็ค",""
"000000000023001646","โครงไก่บดไส้กรอก5 KG(F)","UNO8W1","","006","ก.ก.","15/05/2565","39.00000000","","","","","","","","B","39.00000000","","","","","1.00000000","99999.00000000","1.00000000","5 ก.ก./แพ็ค",""
"000000000023001663","เครื่องในรวมดึงดี 5 KG","UNO8W1","","006","ก.ก.","16/12/2564","0.00000000","","","","","","","","B","0.00000000","","","","","0.00000000","999999.00000000","1.00000000","5 Kg./แพ็ค",""
"000000000023001663","เครื่องในรวมดึงดี 5 KG","UNO8W1","","010","แพ็ค","16/12/2564","0.00000000","","","","","","","","B","0.00000000","","","","","0.00000000","999999.00000000","1.00000000","5 Kg./แพ็ค",""
"000000000023001664","เครื่องในรวมดึงดี#1 5 KG","UNO8W1","","010","แพ็ค","16/12/2564","0.00000000","","","","","","","","B","0.00000000","","","","","0.00000000","999999.00000000","1.00000000","5 Kg./แพ็ค",""
"000000000023001664","เครื่องในรวมดึงดี#1 5 KG","UNO8W1","","006","ก.ก.","16/12/2564","0.00000000","","","","","","","","B","0.00000000","","","","","0.00000000","999999.00000000","1.00000000","5 Kg./แพ็ค",""
"000000000023001739","ตับ 2 KG.  (F)","UNO8W1","","006","ก.ก.","23/05/2565","95.50000000","","","","","","","","B","95.50000000","","","","","1.00000000","99999.00000000","1.00000000","2ก.ก./แพ็ค",""
"000000000023001739","ตับ 2 KG.  (F)","UNO8W1","","005","กล่อง","23/05/2565","1146.00000000","","","","","","","","B","1146.00000000","","","","","1.00000000","99999.00000000","1.00000000","2ก.ก./แพ็ค",""
"000000000023001739","ตับ 2 KG.  (F)","UNO8W1","","010","แพ็ค","23/05/2565","191.00000000","","","","","","","","B","191.00000000","","","","","1.00000000","99999.00000000","1.00000000","2ก.ก./แพ็ค",""
"000000000023001794","หนังไก่ 2 KG (F)","UNO8W1","","010","แพ็ค","15/05/2565","128.50000000","","","","","","","","B","128.50000000","","","","","1.00000000","99999.00000000","1.00000000","2 กก./แพ็ค",""
"000000000023001794","หนังไก่ 2 KG (F)","UNO8W1","","005","กล่อง","15/05/2565","771.00000000","","","","","","","","B","771.00000000","","","","","1.00000000","99999.00000000","1.00000000","2 กก./แพ็ค",""
"000000000023001794","หนังไก่ 2 KG (F)","UNO8W1","","006","ก.ก.","15/05/2565","64.25000000","","","","","","","","B","64.25000000","","","","","1.00000000","99999.00000000","1.00000000","2 กก./แพ็ค",""
"000000000023001795","หนังไก่ 5 KG(F)","UNO8W1","","006","ก.ก.","15/05/2565","62.50000000","","","","","","","","B","62.50000000","","","","","1.00000000","99999.00000000","1.00000000","แพ็ค / 5 ก.ก.",""
"000000000023001795","หนังไก่ 5 KG(F)","UNO8W1","","010","แพ็ค","15/05/2565","312.50000000","","","","","","","","B","312.50000000","","","","","1.00000000","99999.00000000","1.00000000","แพ็ค / 5 ก.ก.",""
"000000000023001795","หนังไก่ 5 KG(F)","UNO8W1","","005","กล่อง","15/05/2565","625.00000000","","","","","","","","B","625.00000000","","","","","1.00000000","99999.00000000","1.00000000","แพ็ค / 5 ก.ก.",""
"000000000023001901","ขาซีไก่ 5 KG(F)","UNO8W1","","005","กล่อง","26/05/2565","557.50000000","","","","","","","","B","557.50000000","","","","","1.00000000","99999.00000000","1.00000000","แพ็ค  / 5 ก.ก.",""
"000000000023001901","ขาซีไก่ 5 KG(F)","UNO8W1","","010","แพ็ค","26/05/2565","278.75000000","","","","","","","","B","278.75000000","","","","","1.00000000","99999.00000000","1.00000000","แพ็ค  / 5 ก.ก.",""
"000000000023001901","ขาซีไก่ 5 KG(F)","UNO8W1","","006","ก.ก.","26/05/2565","55.75000000","","","","","","","","B","55.75000000","","","","","1.00000000","99999.00000000","1.00000000","แพ็ค  / 5 ก.ก.",""
"000000000023001984","เลือดไก่ต้มสุก","UNO8W1","","039","ก้อน","15/05/2565","6.50000000","","","","","","","","B","6.50000000","","","","","1.00000000","99999.00000000","1.00000000","",""
"000000000023001984","เลือดไก่ต้มสุก","UNO8W1","","010","แพ็ค","15/05/2565","65.00000000","","","","","","","","B","65.00000000","","","","","1.00000000","99999.00000000","1.00000000","",""
"000000000023004990","ปีกปลายเป็ด # 1 2 KG (F)","UNO8W1","","010","แพ็ค","28/03/2565","86.00000000","","","","","","","","B","86.00000000","","","","","1.00000000","99999.00000000","1.00000000","",""
"000000000023004990","ปีกปลายเป็ด # 1 2 KG (F)","UNO8W1","","005","กล่อง","28/03/2565","516.00000000","","","","","","","","B","516.00000000","","","","","1.00000000","99999.00000000","1.00000000","",""
"000000000023004990","ปีกปลายเป็ด # 1 2 KG (F)","UNO8W1","","006","ก.ก.","28/03/2565","43.00000000","","","","","","","","B","43.00000000","","","","","1.00000000","99999.00000000","1.00000000","",""
"000000000023004991","ปีกปลายเป็ด#2 2 KG(F)","UNO8W1","","010","แพ็ค","28/03/2565","84.00000000","","","","","","","","B","84.00000000","","","","","1.00000000","99999.00000000","1.00000000","2 กก./แพ็ค",""
"000000000023004991","ปีกปลายเป็ด#2 2 KG(F)","UNO8W1","","005","กล่อง","28/03/2565","504.00000000","","","","","","","","B","504.00000000","","","","","1.00000000","99999.00000000","1.00000000","2 กก./แพ็ค",""
"000000000023004991","ปีกปลายเป็ด#2 2 KG(F)","UNO8W1","","006","ก.ก.","28/03/2565","42.00000000","","","","","","","","B","42.00000000","","","","","1.00000000","99999.00000000","1.00000000","2 กก./แพ็ค",""
"000000000023004999","กึ๋นเป็ดผ่า2 KG(F)","UNO8W1","","010","แพ็ค","31/03/2565","114.50000000","","","","","","","","B","114.50000000","","","","","1.00000000","99999.00000000","1.00000000","1 ก.ก./ถุง",""
"000000000023004999","กึ๋นเป็ดผ่า2 KG(F)","UNO8W1","","005","กล่อง","31/03/2565","687.00000000","","","","","","","","B","687.00000000","","","","","1.00000000","99999.00000000","1.00000000","1 ก.ก./ถุง",""
"000000000023004999","กึ๋นเป็ดผ่า2 KG(F)","UNO8W1","","006","ก.ก.","31/03/2565","57.25000000","","","","","","","","B","57.25000000","","","","","1.00000000","99999.00000000","1.00000000","1 ก.ก./ถุง",""
"000000000023005002","ไส้เป็ดผ่า (F)","UNO8W1","","010","แพ็ค","12/05/2565","256.00000000","","","","","","","","B","256.00000000","","","","","1.00000000","99999.00000000","1.00000000","1 กล่อง = 6 แพ็ค",""
"000000000023005002","ไส้เป็ดผ่า (F)","UNO8W1","","005","กล่อง","12/05/2565","1536.00000000","","","","","","","","B","1536.00000000","","","","","1.00000000","99999.00000000","1.00000000","1 กล่อง = 6 แพ็ค",""
"000000000023005002","ไส้เป็ดผ่า (F)","UNO8W1","","006","ก.ก.","12/05/2565","128.00000000","","","","","","","","B","128.00000000","","","","","1.00000000","99999.00000000","1.00000000","1 กล่อง = 6 แพ็ค",""
