บริษัท ซีพีเอฟ เทรดดิ้ง จำกัด
"rProduct_code","rProduct_listName","rClass_Price","rClass_Price_GDDesc","rUnit_code","rUnit_listName","sEffective_date_p","rGross_price","rProd_dis1","rProd_dis2","rProd_dis3","rPromotion_flag","sReversal_date","rPromotion_dis","rBonus_discount","rBonus_flag","rNet_price_dis","rFree_stock","rFree_stock_unit","rFor_order","rNet_price_free","rMin_order","rMax_order","rPacking_size","rPackaging_descript","rCurrency"
"000000000023000125","เนื้อไหล่","BKK1W1","","006","ก.ก.","02/06/2565","168.00000000","","","","","","","","B","168.00000000","","","","","1.00000000","99999.00000000","1.00000000","10กก./ถุง",""
"000000000023000126","เนื้อไหล่แต่ง","BKK1W1","","006","ก.ก.","02/06/2565","171.00000000","","","","","","","","B","171.00000000","","","","","1.00000000","99999.00000000","1.00000000","เนื้อไหล่แต่ง",""
"000000000023000130","สะโพกติดหนัง","BKK1W1","","006","ก.ก.","19/05/2565","170.00000000","","","","","","","","B","170.00000000","","","","","1.00000000","99999.00000000","1.00000000","สะโพกติดหนัง",""
"000000000023000134","สันนอก","BKK1W1","","006","ก.ก.","02/06/2565","172.00000000","","","","","","","","B","172.00000000","","","","","1.00000000","99999.00000000","1.00000000","5กก/ถุง ",""
"000000000023000141","สันใน","BKK1W1","","006","ก.ก.","02/06/2565","184.00000000","","","","","","","","B","184.00000000","","","","","1.00000000","99999.00000000","1.00000000","10กก/ถุง",""
"000000000023000142","สันในแต่ง","BKK1W1","","006","ก.ก.","02/06/2565","186.00000000","","","","","","","","B","186.00000000","","","","","1.00000000","99999.00000000","1.00000000","สันในแต่ง",""
"000000000023000143","สันคอ","BKK1W1","","006","ก.ก.","02/06/2565","216.00000000","","","","","","","","B","216.00000000","","","","","1.00000000","99999.00000000","1.00000000","10กก/ถุง",""
"000000000023000146","สามชั้นลอกหนัง 1 กก.","BKK1W1","","006","ก.ก.","02/06/2565","217.00000000","","","","","","","","B","217.00000000","","","","","1.00000000","99999.00000000","1.00000000","8กก./ถุง",""
"000000000023000148","หมูสามชั้น","BKK1W1","","006","ก.ก.","02/06/2565","199.00000000","","","","","","","","B","199.00000000","","","","","1.00000000","99999.00000000","1.00000000","10กก/ถุง.",""
"000000000023000150","ซี่โครงแผ่น","BKK1W1","","006","ก.ก.","26/05/2565","164.00000000","","","","","","","","B","164.00000000","","","","","1.00000000","99999.00000000","1.00000000","6 กก./ถุง",""
"000000000023000151","ซี่โครงอ่อน","BKK1W1","","006","ก.ก.","26/05/2565","201.00000000","","","","","","","","B","201.00000000","","","","","1.00000000","99999.00000000","1.00000000","ซี่โครงอ่อน",""
