บริษัท ซีพีเอฟ เทรดดิ้ง จำกัด
"rProduct_code","rProduct_listName","rClass_Price","rClass_Price_GDDesc","rUnit_code","rUnit_listName","sEffective_date_p","rGross_price","rProd_dis1","rProd_dis2","rProd_dis3","rPromotion_flag","sReversal_date","rPromotion_dis","rBonus_discount","rBonus_flag","rNet_price_dis","rFree_stock","rFree_stock_unit","rFor_order","rNet_price_free","rMin_order","rMax_order","rPacking_size","rPackaging_descript","rCurrency"
"000000000023000134","สันนอก","UNE5W1","","006","ก.ก.","02/06/2565","172.00000000","","","","","","","","B","172.00000000","","","","","1.00000000","99999.00000000","1.00000000","5กก/ถุง ",""
"000000000023000143","สันคอ","UNE5W1","","006","ก.ก.","02/06/2565","213.00000000","","","","","","","","B","213.00000000","","","","","1.00000000","99999.00000000","1.00000000","10กก/ถุง",""
"000000000023000158","ชิ้นเนื้อหมูดี","UNE5W1","","006","ก.ก.","02/06/2565","155.00000000","","","","","","","","B","155.00000000","","","","","1.00000000","99999.00000000","1.00000000","ชิ้นเนื้อหมูดี",""
"000000000023000165","คากิ (ข้อสอง)","UNE5W1","","006","ก.ก.","23/02/2565","48.00000000","","","","","","","","B","48.00000000","","","","","1.00000000","99999.00000000","1.00000000","1 ก.ก./ซอง",""
"000000000023000167","กระดูกขาเลาะ","UNE5W1","","006","ก.ก.","02/06/2565","12.00000000","","","","","","","","B","12.00000000","","","","","1.00000000","99999.00000000","1.00000000","กระดูกขาเลาะ",""
"000000000023000168","เนื้อขาเลาะ","UNE5W1","","006","ก.ก.","02/06/2565","155.00000000","","","","","","","","B","155.00000000","","","","","1.00000000","99999.00000000","1.00000000","",""
"000000000023000172","ลิ้นหมู","UNE5W1","","006","ก.ก.","02/06/2565","160.00000000","","","","","","","","B","160.00000000","","","","","1.00000000","99999.00000000","1.00000000","ลิ้นหมู",""
"000000000023000175","หน้ากากหมู","UNE5W1","","006","ก.ก.","02/06/2565","91.00000000","","","","","","","","B","91.00000000","","","","","1.00000000","99999.00000000","1.00000000","หน้ากากหมู",""
"000000000023000176","กระโหลกหมู","UNE5W1","","006","ก.ก.","02/06/2565","12.00000000","","","","","","","","B","12.00000000","","","","","1.00000000","99999.00000000","1.00000000","1 กิโลกรัม",""
"000000000023000181","ไส้ขม","UNE5W1","","006","ก.ก.","02/06/2565","61.00000000","","","","","","","","B","61.00000000","","","","","1.00000000","99999.00000000","1.00000000","",""
